Product_Brand,Product_Name,Product_Type,Product_Category,Product_Original_Price,Product_Offer_Price,Product_Discount,Product_Rating,Product_Ratings_Count,Product_Reviews_Count,Product_Highlight,Product_Stock_Status,Product_Rating_Scale,Product_Price_Difference
Bath & Body Works,"Bath & Body Works A Thousand Wishes Body
Wash (295ml)",Bath & Body,Bath & Shower,2099,1799,14,4.6,14,1,,In Stock,High,300
Bath & Body Works,"Bath & Body Works Gingham Gorgeous Daily
Nourishing Body Lotion (236ml)",Bath & Body,Body Care,2199,1899,14,4.7,208,19,,In Stock,High,300
Bath & Body Works,"Bath & Body Works Dark Kiss Fine
Fragrance Mist For Her (236ml)",Bath & Body,Fragrances,2099,1799,14,4.2,1249,105,BESTSELLER,In Stock,High,300
Bath & Body Works,"Bath & Body Works In The Stars Body Wash
(295ml)",Bath & Body,Bath & Shower,1999,1699,15,4.5,89,5,BESTSELLER,In Stock,High,300
Bath & Body Works,"Bath & Body Works Dark Velvet OUD Daily
Nourishing Body Lotion (236ml)",Bath & Body,Body Care,2099,1799,14,4.4,165,9,,In Stock,High,300
Bath & Body Works,"Bath & Body Works Japanese Cherry
Blossom Diamond Shimmer Mist For Her
(145ml)",Bath & Body,Fragrances,2199,1899,14,4.1,70,7,,In Stock,High,300
Bath & Body Works,"Bath & Body Works Japanese Cherry
Blossom Fine Fragrance Mist For Her
(236ml)",Bath & Body,Fragrances,2099,1799,14,4.1,2694,266,BESTSELLER,In Stock,High,300
Bath & Body Works,"Bath & Body Works Into The Night Shower
Gel (295ml)",Bath & Body,Bath & Shower,2099,1799,14,4.3,76,2,BESTSELLER,In Stock,High,300
Bath & Body Works,"Bath & Body Works Gingham Fine Fragrance
Mist For Her (236ml)",Bath & Body,Fragrances,2199,1899,14,4.4,1129,128,,In Stock,High,300
Bath & Body Works,"Bath & Body Works Rose Fine Fragrance
Mist For Her (236ml)",Bath & Body,Fragrances,2199,1899,14,4.5,105,29,,In Stock,High,300
Bath & Body Works,"Bath & Body Works In The Stars Ultimate
Hydration Body Cream (226g)",Bath & Body,Body Care,2299,1949,15,4.4,86,10,BESTSELLER,In Stock,High,350
Bath & Body Works,"Bath & Body Works Pure Wonder Fine
Fragrance Mist For Her (236ml)",Bath & Body,Fragrances,2199,1899,14,4.4,174,26,BESTSELLER,In Stock,High,300
Bath & Body Works,"Bath & Body Works Gingham Gorgeous Fine
Fragrance Mist For Her (236ml)",Bath & Body,Fragrances,2199,1899,14,4.4,707,92,BESTSELLER,In Stock,High,300
Bath & Body Works,"Bath & Body Works Gingham Fresh Fine
Fragrance Mist For Her (236ml)",Bath & Body,Fragrances,2099,1799,14,4.3,196,25,,In Stock,High,300
Bath & Body Works,"Bath & Body Works Eucalyptus Spearmint
Body Wash and Foam Bath (295ml)",Bath & Body,Bath & Shower,1999,1699,15,4.5,525,45,,In Stock,High,300
Bath & Body Works,"Bath & Body Works Vanilla Buttercream
Travel Size Fine Fragrance Mist For Her
(75ml)",Bath & Body,Fragrances,999,799,20,3.6,266,50,,In Stock,Medium,200
Bath & Body Works,"Bath & Body Works A Thousand Wishes
Moisturizing Body Wash (295ml)",Bath & Body,Bath & Shower,2199,1899,14,4.3,62,2,,In Stock,High,300
Bath & Body Works,"Bath & Body Works Rose Vanilla
Moisturizing Body Lotion (192ml)",Bath & Body,Body Care,2199,1899,14,4.0,30,5,,In Stock,High,300
Bath & Body Works,"Bath & Body Works Japanese Cherry
Blossom Moisturizing Body Wash (295ml)",Bath & Body,Bath & Shower,2199,1899,14,3.9,22,0,,In Stock,Medium,300
Bath & Body Works,"Bath & Body Works Bourbon 3-In-1 Haie &
Face & Body Wash (175 g)",Bath & Body,Bath & Shower,1999,1699,15,4.2,38,1,,In Stock,High,300
Bath & Body Works,"Bath & Body Works Dark Kiss Travel Size
Fine Fragrance Mist For Her (75ml)",Bath & Body,Fragrances,999,799,20,4.2,622,54,,In Stock,High,200
