Product Brand,Product Name,Product Rating,Product Rating & Review Count,Product Original Price,Product Offer Price,Product Discount,Product Highlight,Product Stock Status
Bath & Body Works,Bath & Body Works A Thousand Wishes Body Wash(295ml),4.6/5,14ratings&1reviews,₹2099,₹1799,14% Off,None,In Stock
Bath & Body Works,Bath & Body Works Gingham Gorgeous Daily Nourishing Body Lotion(236ml),4.7/5,208ratings&19reviews,₹2199,₹1899,14% Off,None,In Stock
Bath & Body Works,Bath & Body Works Dark Kiss Fine Fragrance Mist For Her(236ml),4.2/5,1249ratings&105reviews,₹2099,₹1799,14% Off,BESTSELLER,In Stock
Bath & Body Works,Bath & Body Works In The Stars Body Wash(295ml),4.5/5,89ratings&5reviews,₹1999,₹1699,15% Off,BESTSELLER,In Stock
Bath & Body Works,Bath & Body Works Dark Velvet OUD Daily Nourishing Body Lotion(236ml),4.4/5,165ratings&9reviews,₹2099,₹1799,14% Off,None,In Stock
Bath & Body Works,Bath & Body Works Japanese Cherry Blossom Diamond Shimmer Mist For Her(145ml),4.1/5,70ratings&7reviews,₹2199,₹1899,14% Off,None,In Stock
Bath & Body Works,Bath & Body Works Japanese Cherry Blossom Fine Fragrance Mist For Her(236ml),4.1/5,2694ratings&266reviews,₹2099,₹1799,14% Off,BESTSELLER,In Stock
Bath & Body Works,Bath & Body Works Into The Night Shower Gel(295ml),4.3/5,76ratings&2reviews,₹2099,₹1799,14% Off,BESTSELLER,In Stock
Bath & Body Works,Bath & Body Works Gingham Fine Fragrance Mist For Her(236ml),4.4/5,1129ratings&128reviews,₹2199,₹1899,14% Off,None,In Stock
Bath & Body Works,Bath & Body Works Rose Fine Fragrance Mist For Her(236ml),4.5/5,105ratings&29reviews,₹2199,₹1899,14% Off,None,In Stock
Bath & Body Works,Bath & Body Works In The Stars Ultimate Hydration Body Cream(226g),4.4/5,86ratings&10reviews,₹2299,₹1949,15% Off,BESTSELLER,In Stock
Bath & Body Works,Bath & Body Works Pure Wonder Fine Fragrance Mist For Her(236ml),4.4/5,174ratings&26reviews,₹2199,₹1899,14% Off,BESTSELLER,In Stock
Bath & Body Works,Bath & Body Works Gingham Gorgeous Fine Fragrance Mist For Her(236ml),4.4/5,707ratings&92reviews,₹2199,₹1899,14% Off,BESTSELLER,In Stock
Bath & Body Works,Bath & Body Works Gingham Fresh Fine Fragrance Mist For Her(236ml),4.3/5,196ratings&25reviews,₹2099,₹1799,14% Off,None,In Stock
Bath & Body Works,Bath & Body Works Eucalyptus Spearmint Body Wash and Foam Bath(295ml),4.5/5,525ratings&45reviews,₹1999,₹1699,15% Off,None,In Stock
Bath & Body Works,Bath & Body Works Vanilla Buttercream Travel Size Fine Fragrance Mist For Her(75ml),3.6/5,266ratings&50reviews,₹999,₹799,20% Off,None,In Stock
Bath & Body Works,Bath & Body Works A Thousand Wishes Moisturizing Body Wash(295ml),4.3/5,62ratings&2reviews,₹2199,₹1899,14% Off,None,In Stock
Bath & Body Works,Bath & Body Works Rose Vanilla Moisturizing Body Lotion(192ml),4/5,30ratings&5reviews,₹2199,₹1899,14% Off,None,In Stock
Bath & Body Works,Bath & Body Works Japanese Cherry Blossom Moisturizing Body Wash(295ml),3.9/5,22ratings,₹2199,₹1899,14% Off,None,In Stock
Bath & Body Works,Bath & Body Works Bourbon 3-In-1 Haie & Face & Body Wash(175 g),4.2/5,38ratings&1reviews,₹1999,₹1699,15% Off,None,In Stock
Bath & Body Works,Bath & Body Works Dark Kiss Travel Size Fine Fragrance Mist For Her(75ml),4.2/5,622ratings&54reviews,₹999,₹799,20% Off,None,In Stock
Bath & Body Works,Bath & Body Works Champagne Toast Body Wash(295ml),4.5/5,45ratings&3reviews,₹1899,₹1649,13% Off,None,In Stock
Bath & Body Works,Bath & Body Works You're The One Ultimate Hydration Body Cream(226 g),4.6/5,41ratings&3reviews,₹2299,₹1949,15% Off,None,In Stock
