Product Brand,Product Name,Product Rating,Product Rating & Review Count,Product Original Price,Product Offer Price,Product Discount,Product Highlight,Product Stock Status
Colorbar,Colorbar Illuminating Base Combo(2 pcs),4.4/5,31121ratings&1781reviews,₹1645,₹1234,25% Off,None,In Stock
Colorbar,Colorbar Shine N Shimmer Complete Makeup Kit(9 Pcs),4.5/5,18ratings&2reviews,₹9234,₹4802,48% Off,None,In Stock
Colorbar,Colorbar Kissproof Lipstick - Wild Peach(3g),4.1/5,4496ratings&270reviews,₹1200,₹600,50% Off,None,In Stock
Colorbar,Colorbar Kiss Proof Lip Stain - Haute Latte - 007(6.5ml),4.2/5,6146ratings&1047reviews,₹999,₹769,23% Off,BESTSELLER,In Stock
Colorbar,Colorbar Perfect Match Primer(30ml),4.4/5,16015ratings&1720reviews,₹950,₹741,22% Off,BESTSELLER,In Stock
Colorbar,Colorbar X Jacqueline Wink With Love 14hrs Stay Eyeliner - Black Charm-001(1ml),4.5/5,711ratings&137reviews,₹999,₹500,50% Off,None,In Stock
Colorbar,Colorbar Eyes Makeup Kit(4 Pcs),4.4/5,35ratings&2reviews,₹1988,₹994,50% Off,None,In Stock
Colorbar,Colorbar Flawless Finish Primer(30ml),4.5/5,24399ratings&1226reviews,₹650,₹533,18% Off,BESTSELLER,In Stock
Colorbar,Colorbar Velvet Matte Lipstick - 58 Bare(4.2g),4.3/5,82294ratings&7565reviews,₹449,₹359,20% Off,None,In Stock
Colorbar,Colorbar All-Matte Eyeliner - Matte Black 001(2.5ml),4.5/5,5562ratings&746reviews,₹750,₹585,22% Off,None,In Stock
Colorbar,Colorbar Just Smoky Eye Kajal - Just Black(1.2g),4.4/5,6957ratings&907reviews,₹750,₹638,15% Off,BESTSELLER,In Stock
Colorbar,Colorbar Powerkiss Vegan Matte Lipcolor - Glamping(5ml),4.2/5,6690ratings&459reviews,₹599,₹467,22% Off,None,In Stock
Colorbar,Colorbar Sinful Matte Lipcolor - Sin(3.5g),4.4/5,5944ratings&902reviews,₹1499,₹1274,15% Off,None,In Stock
Colorbar,Colorbar Waterproof Liquid Eyeliner & Intensely Rich Kajal Combo(2 pcs),4.4/5,34005ratings&2895reviews,₹694,₹500,28% Off,None,In Stock
Colorbar,Colorbar Take Me As I Am Vegan Matte Lipstick - Cherry Bomb - 006(4.2 g),4.3/5,647ratings&32reviews,₹999,₹819,18% Off,None,In Stock
Colorbar,Colorbar Zoom & Whoosh Mascara Black Sin 001(9ml),4.4/5,2861ratings&267reviews,₹950,₹741,22% Off,None,In Stock
Colorbar,Colorbar Matte Me As I Am Lipcolor - 015 Stroke(2.8g),4.4/5,5533ratings&711reviews,₹999,₹779,22% Off,None,In Stock
Colorbar,Colorbar 24Hrs Weightless Liquid Foundation - FC 2.2(25ml),4.3/5,1856ratings&116reviews,₹1499,₹1169,22% Off,None,In Stock
Colorbar,Colorbar 24Hrs Wear Concealer Palette - Light Medium(9g),4.4/5,466ratings&29reviews,₹1199,₹1019,15% Off,None,In Stock
Colorbar,Colorbar Perfect Match Compact - Classic Ivory(9gm),4.4/5,4414ratings&289reviews,₹950,₹741,22% Off,None,In Stock
Colorbar,Colorbar Stay The Day Finishing Mist(100ml),4.4/5,1916ratings&161reviews,₹899,₹719,20% Off,None,In Stock
Colorbar,Colorbar Vegan Nail Lacquer - Bronzer(8ml),4.4/5,2686ratings&151reviews,₹225,₹191,15% Off,None,In Stock
Colorbar,Colorbar Blend-itudeBeauty Sponge - Spicy Pink 002,4.5/5,9653ratings&626reviews,₹199,₹179,10% Off,None,In Stock
Colorbar,Colorbar Nail Polish Remover (Pack Of 2),4.6/5,35207ratings&4261reviews,₹398,₹318,20% Off,None,In Stock
Colorbar,Colorbar Perfect Match BB Blam SPF 20 - White Light(29g),4.1/5,2258ratings&199reviews,₹650,₹520,20% Off,None,In Stock
Colorbar,Colorbar Starry Flip Lipcolor - Peek-A-Boo(3.5g),4.4/5,757ratings&75reviews,₹1299,₹1013,22% Off,None,In Stock
Colorbar,Colorbar Sindoor - Red + Maroon(2 pcs),4.4/5,29072ratings&1544reviews,₹290,₹247,15% Off,None,In Stock
Colorbar,Colorbar Pro Banana Powder - 001(10 g),4.4/5,137ratings&4reviews,₹995,₹846,15% Off,None,In Stock
Colorbar,Colorbar Waterproof Liquid Eyeliner(2.5ml),4.4/5,16119ratings&1617reviews,₹495,₹386,22% Off,None,In Stock
Colorbar,Colorbar Sindoor My Maroon 002(3.8ml),4.4/5,29275ratings&1643reviews,₹145,₹131,10% Off,None,In Stock
Colorbar,Colorbar Nail Polish Remover(110ml),4.6/5,35198ratings&4254reviews,₹199,₹179,10% Off,None,In Stock
Colorbar,Colorbar On The Go Makeup Remover Wipes(30 Wipes),4.5/5,6688ratings&512reviews,₹250,₹213,15% Off,None,In Stock
Colorbar,Colorbar Spotlight Illuminating Lotion(30ml),4.3/5,6720ratings&554reviews,₹995,₹776,22% Off,None,In Stock
Colorbar,Colorbar Cheekillusion Blush - 010 Everything Rosy(4gm),4.3/5,4620ratings&528reviews,₹750,₹585,22% Off,None,In Stock
Colorbar,Colorbar Intensely Rich Kajal(0.30g),4.4/5,17886ratings&1278reviews,₹199,₹169,15% Off,None,In Stock
Colorbar,Colorbar Vegan Nail Lacquer - Rock Chic(8ml),4.4/5,5342ratings&391reviews,₹225,₹191,15% Off,None,In Stock
Colorbar,Colorbar Amino Skin Radiant Foundation - Ivory Fair(15g),4.3/5,2129ratings&132reviews,₹1299,₹1013,22% Off,None,In Stock
Colorbar,Colorbar XOXO Everlasting Matte Lipstick - Passionate 026(12gm),4/5,507ratings&20reviews,₹275,₹193,30% Off,None,In Stock
Colorbar,Colorbar Instant Glow Cream(15gm),4.4/5,209ratings&9reviews,₹1299,₹1039,20% Off,None,In Stock
Colorbar,Colorbar Magic Dry Elixir Luxe Nail Lacquer - Wicked Brown(12ml),4.4/5,358ratings&41reviews,₹325,₹293,10% Off,None,In Stock
Colorbar,Colorbar Flawless Full Cover Concealer - Chiffon(6ml),4.3/5,1509ratings&57reviews,₹895,₹698,22% Off,None,In Stock
Colorbar,Colorbar I-Glide Eye Pencil - Cocobar(1.1g),4.4/5,3536ratings&640reviews,₹750,₹585,22% Off,None,In Stock
Colorbar,Colorbar On The Go Makeup Remover Wipes(10 Wipes),4.5/5,12021ratings&785reviews,₹95,₹86,10% Off,None,In Stock
Colorbar,Colorbar Definer Lip Liner - Burnt Rose(1.45g),4.4/5,617ratings&85reviews,₹699,₹559,20% Off,None,In Stock
Colorbar,Colorbar Ultimate Eye Liner - Black(1ml),4.3/5,6847ratings&1253reviews,₹750,₹585,22% Off,None,In Stock
Colorbar,Colorbar Take Me As I Am Vegan Matte Refill - Dare You - 009(4.2 g),4.1/5,1083ratings&41reviews,₹499,₹449,10% Off,None,In Stock
Colorbar,Colorbar Xoxo Everlasting Finish Compact Powder - Vanilla 001(9gm),4.4/5,532ratings&28reviews,₹199,₹139,30% Off,None,In Stock
Colorbar,Colorbar X Jacqueline Wink With Love 14hrs Stay Eyeliner - Black Charm-001(1ml),4.5/5,711ratings&137reviews,₹999,₹500,50% Off,None,In Stock
Colorbar,Colorbar Lash Illusion Mascara Lengthening Lash & Volumising Mascara(4ml Each),4.3/5,3645ratings&240reviews,₹495,₹386,22% Off,None,In Stock
Colorbar,Colorbar Timeless Filling And Lifting Foundation - Light Linen(30ml),4.3/5,651ratings&53reviews,₹1199,₹935,22% Off,None,In Stock
Colorbar,Colorbar Stunning Brow Pencil - Chestnut 001(1.08g),4.4/5,1020ratings&78reviews,₹695,₹556,20% Off,None,In Stock
Colorbar,Colorbar Radiant White UV Fairness Compact Powder With SPF 18 - 002 Shell(9gm),4.3/5,10745ratings&1253reviews,₹499,₹424,15% Off,None,In Stock
Colorbar,Colorbar Sinful Lip N Cheek Mousse Tint - Coco Berry-003(4 g),4.3/5,395ratings&55reviews,₹1200,₹720,40% Off,None,In Stock
Colorbar,Colorbar Cellular Dry Oil Moisture Boosting Treatment(30ml),4.4/5,1190ratings&144reviews,₹1299,₹1039,20% Off,None,In Stock
Colorbar,Colorbar X Jacqueline Sinful Matte Lipcolor Forplay 026(3.5 g),4.3/5,737ratings&73reviews,₹1499,₹1274,15% Off,None,In Stock
Colorbar,Colorbar On The Go Nail Lacquer Remover Wipes - Rainbow Bouquet(30 Wipes),4.5/5,2888ratings&242reviews,₹199,₹169,15% Off,None,In Stock
Colorbar,Colorbar Face The Sun Broad Spectrum Daily Face Protector SPF50+PA++++ UVA/UVB(50ml),4.3/5,1082ratings&66reviews,₹599,₹461,23% Off,None,In Stock
Colorbar,Colorbar Timeless Filling And Lifting Compact - 002 Soft Opal(9gm),4.4/5,486ratings&49reviews,₹1199,₹935,22% Off,None,In Stock
Colorbar,Colorbar Full Cover Makeup Stick SPF 30 - 003 Warm Beige(9gm),4.3/5,2171ratings&212reviews,₹799,₹623,22% Off,None,In Stock
Colorbar,Colorbar Fix And Glow Setting Spray - Magic Potion(100ml),4.1/5,82ratings&3reviews,₹899,₹809,10% Off,None,In Stock
Colorbar,Colorbar Luxe Nail Lacquer - Miss Perfect 21(12ml),4.2/5,161ratings&68reviews,₹325,₹276,15% Off,None,In Stock
Colorbar,Colorbar Lip Prime & Care(2.5g),4.4/5,1026ratings&124reviews,₹999,₹799,20% Off,None,In Stock
Colorbar,Colorbar Infinite 24Hrs Eyeliner - Infinite Black 001(2.5ml),4.4/5,1034ratings&84reviews,₹750,₹585,22% Off,None,In Stock
Colorbar,Colorbar Powerkiss Matte Lipstick - Pumpkin Spice(4.2g),4/5,23ratings&2reviews,₹799,₹679,15% Off,None,In Stock
Colorbar,Colorbar Crystal Glow Face Gloss - Golden Gaze 01(38ml),4.3/5,28ratings&1reviews,₹1299,₹1169,10% Off,None,In Stock
Colorbar,Colorbar MesmerEyes Kajal(0.35g),4.4/5,2381ratings&316reviews,₹399,₹339,15% Off,None,In Stock
Colorbar,Colorbar Skin Care Hydra White Day Creme SPF 15(25g),4.4/5,382ratings&21reviews,₹1090,₹839,23% Off,None,In Stock
Colorbar,Colorbar Take Me As I Am Vegan Creme Refill - Viva Magenta - 006(4.2 g),4.1/5,306ratings&15reviews,₹499,₹449,10% Off,None,In Stock
Colorbar,Colorbar XOXO Everlasting Rich Kajal - Black(0.35g),4.5/5,146ratings&17reviews,₹149,₹134,10% Off,None,In Stock
Colorbar,Colorbar Vita Hemp + Vitamin C Restoring and Balancing Moisturiser(50g),4.5/5,216ratings&12reviews,₹799,₹615,23% Off,None,In Stock
Colorbar,Colorbar I-Glide Eye Pencil - Cocobar 002(1.1g),4.4/5,110ratings&32reviews,₹695,₹542,22% Off,None,In Stock
Colorbar,Colorbar Aquafeel Pro Foundation - Apple Crunch(30ml),4.2/5,1177ratings&90reviews,₹795,₹620,22% Off,None,In Stock
Colorbar,Colorbar Starlight Wand Color Mascara - Spell(1.45g),4.3/5,14ratings&2reviews,₹1150,N/A,No Discount,None,In Stock
Colorbar,Colorbar Browful Sculpt Pencil - Cool Brunette(0.24g),4.1/5,114ratings&3reviews,₹850,₹697,18% Off,None,In Stock
Colorbar,Colorbar Showstopper Eyelash Curler,4.2/5,1015ratings&133reviews,₹525,₹420,20% Off,None,In Stock
Colorbar,Colorbar Ultimate Nail Enamel Remover - Dark Chocolate(80ml),4.5/5,1266ratings&208reviews,₹299,₹254,15% Off,None,In Stock
Colorbar,Colorbar Ultimate Stunner Kajal - Black Beauty 01(1.8 g),4.3/5,147ratings&12reviews,₹750,₹585,22% Off,None,In Stock
Colorbar,Colorbar Skin Care Intense Whitening Hydra White Anti-spot Serum(10ml),4.3/5,507ratings&60reviews,₹890,₹685,23% Off,None,In Stock
Colorbar,Colorbar Lim Balm with SPF 15 - Watermelon(4.5 g),4.1/5,185ratings&11reviews,₹299,₹254,15% Off,None,In Stock
Colorbar,Colorbar Pixie Love Eyeshadow Palette(28 g),4.5/5,22ratings&2reviews,₹2800,₹1680,40% Off,None,In Stock
