Product Brand,Product Name,Product Rating,Product Rating & Review Count,Product Original Price,Product Offer Price,Product Discount,Product Highlight,Product Stock Status
L'Oreal Paris,"L'Oreal Paris Voluminous Panorama Waterproof Mascara Volumizing, Clump Free, Smudge free(9.4ml)",4.4/5,1551ratings&281reviews,₹999,₹849,15% Off,BESTSELLER,In Stock
L'Oreal Paris,L'Oreal Paris Color Riche Satin Lipstick - 124 S'il Vous Plait(4.3g),4.3/5,129ratings&46reviews,₹750,₹713,5% Off,None,In Stock
L'Oreal Paris,L'Oreal Paris Infallible Matte Resistance Liquid Lipstick - 635 Worth It Medium(5g),4.3/5,6417ratings&739reviews,₹999,₹899,10% Off,BESTSELLER,In Stock
L'Oreal Paris,L'Oreal Paris Voluminous Lash Paradise Mascara - 204 Blackest Black(7.6ml),4.4/5,18731ratings&2992reviews,₹899,₹764,15% Off,None,In Stock
L'Oreal Paris,"L'Oreal Paris Extraordinary Oil Hair Serum, Anti-Frizz Serum With UV Protection(100ml)",4.5/5,80981ratings&7073reviews,₹729,₹693,5% Off,BESTSELLER,In Stock
L'Oreal Paris,L'Oreal Paris Glycolic Bright 8% [Melasyl + Niacinamide] Face Serum for Brightening Dark Spots(30ml),4.3/5,24379ratings&1237reviews,₹749,₹674,10% Off,BESTSELLER,In Stock
L'Oreal Paris,L'Oreal Paris Hyaluron Moisture Anti-frizz Conditioner With Hyaluronic Acid for 72 HR Hydrated Hair(386ml),4.5/5,43812ratings&2528reviews,₹599,₹539,10% Off,BESTSELLER,In Stock
L'Oreal Paris,"L’Oréal Paris Hyaluron Pure 72H Purifying Shampoo, For Oily Scalp & Dry Hair With Salicylic And Hyaluronic Acid(200ml)",4.6/5,27ratings&10reviews,₹259,N/A,No Discount,None,In Stock
L'Oreal Paris,"L'Oreal Paris Revitalift Serum, Hydrating and Plumping, Replumps Skin in 1H, Reduces Fine Lines(30ml)",4.4/5,45010ratings&2923reviews,₹999,₹899,10% Off,BESTSELLER,In Stock
L'Oreal Paris,Loreal Paris Revitalift Hyaluronic Acid Line Filling Water Cream With Ceramides For Hydration & Barrier Repair(50ml),4.4/5,11610ratings&501reviews,₹999,₹949,5% Off,None,In Stock
L'Oreal Paris,LOreal Paris Hyaluron Moisture Anti-frizz Shampoo With Hyaluronic Acid For 72 HR Dehydrated Hair(1L),4.4/5,34030ratings&1974reviews,₹1439,₹1295,10% Off,BESTSELLER,In Stock
L'Oreal Paris,"LOreal Paris Infallible Full Wear Concealer, Maximum Coverage, Sweat Proof & Heat Proof - Amber 312(10ml)",4.4/5,15547ratings&1469reviews,₹849,₹807,5% Off,BESTSELLER,In Stock
L'Oreal Paris,L'Oreal Paris Hyaluron Moisture Anti-frizz Leave-in Night Cream With Hyaluronic Acid For Hydrated Hair(180ml),4.3/5,13352ratings&1026reviews,₹499,N/A,No Discount,None,In Stock
L'Oreal Paris,L'Oreal Paris Dream Lengths No Haircut Cream Leave-In Formula With Vitamins and Castor Oil(200ml),4.5/5,15956ratings&1809reviews,₹549,N/A,No Discount,None,In Stock
L'Oreal Paris,L'Oreal Paris Magic Retouch Instant Root Concealer Hair Color - 2 Dark Brown(75ml),4.1/5,23552ratings&1817reviews,₹299,N/A,No Discount,None,In Stock
L'Oreal Paris,L'Oreal Paris Casting Creme Gloss Conditioning Hair Color - 400 Dark Brown(87.5g + 72ml),4.3/5,16579ratings&1669reviews,₹699,N/A,No Discount,None,In Stock
L'Oreal Paris,"LOreal Paris Liquid Foundation, Infaillible 32H Fresh Wear, Oil Absorbing Formula, Warm Dore 125 SPF 25(30ml)",4.3/5,7449ratings&744reviews,₹1099,₹989,10% Off,None,In Stock
