Product Brand,Product Name,Product Rating,Product Rating & Review Count,Product Original Price,Product Offer Price,Product Discount,Product Highlight,Product Stock Status
Lakme,Lakme Rouge Bloom Matte Lip Liquid - Blushing Bae 204(3.5ml),4.8/5,202ratings&156reviews,₹1199,N/A,No Discount,None,In Stock
Lakme,"Lakme Xtraordin-Airy Mattereal Mousse Foundation, Matte Finish, With SPF8, 01 Classic Ivory(25g)",4.4/5,51630ratings&4709reviews,₹999,₹599,40% Off,BESTSELLER,In Stock
Lakme,"Lakme Sun Expert Dry Matte Fluid SPF 50++++ Sunscreen with 1% Niac & Ceramide, for Oily Skin(50ml)",4.9/5,430ratings&410reviews,₹499,₹449,10% Off,None,In Stock
Lakme,"Lakme 9 To 5 Powerplay Priming Foundation, Built In Primer, SPF 25, W120 Warm Creme(25ml)",4.4/5,47870ratings&3163reviews,₹699,₹384,45% Off,None,In Stock
Lakme,"Lakme Unreal Undercover Gel Face Primer, Enriched With Viitamin E(30ml)",4.4/5,75912ratings&5068reviews,₹899,₹539,40% Off,None,In Stock
Lakme,Lakme Lumi Lit Strobe Cream Highlighter + Moisturizer + Primer With Hyaluronic Acid & Niacinamide Dewy Rose(30g),4.3/5,52935ratings&2407reviews,₹349,₹332,5% Off,BESTSELLER,In Stock
Lakme,Lakme Xtraordin-Airy Velvet Matte Lip Mousse - 103 Dark Cherry(4.6 g),4.3/5,9698ratings&696reviews,₹900,₹585,35% Off,None,In Stock
Lakme,"Lakme Ultimate Glam Compact, Skin Lightening Compact Powder With Vitamin B3, Golden Sand 03(8gm)",4.4/5,10540ratings&805reviews,₹290,₹203,30% Off,None,In Stock
Lakme,Lakme Perfect Radiance Brightening Day Cream With Sunscreen Protection(50g),4.3/5,42515ratings&1765reviews,₹375,₹338,10% Off,BESTSELLER,In Stock
Lakme,"Lakme 9 To 5 Powerplay Priming Powder Foundation Lasting Matte, Ivory Cream(9g)",4.3/5,47859ratings&2581reviews,₹649,₹402,38% Off,None,In Stock
Lakme,"Lakme 9 To 5 Powerplay Priming Concealer Built In Primer, Hydrating, 10 Ivory(5.4ml)",4.3/5,17395ratings&628reviews,₹575,₹357,38% Off,None,In Stock
Lakme,Lakme Vitamin C Superglow Skin Perfecting Makeup Fixer with 1 % Vit C(60ml),4.4/5,1395ratings&118reviews,₹325,₹302,7% Off,None,In Stock
Lakme,Lakme Superglow Vit C Gloss - Insta Pink(2.5ml),4.2/5,12ratings&2reviews,₹350,₹315,10% Off,None,In Stock
Lakme,"Lakme 9 To 5 Eyeconic Liquid Eyeliner Smudgeproof, Waterproof, Lasts Upto 24 Hrs, Black(4.5ml)",4.4/5,56956ratings&2910reviews,₹299,₹209,30% Off,BESTSELLER,In Stock
Lakme,Lakme Peach Milk Moisturizer(200ml),4.5/5,6422ratings&214reviews,₹435,₹392,10% Off,None,In Stock
Lakme,"Lakme Forever Matte Liquid Lip Color, Lightweight & Transferproof 08 Nude Dream(5.6ml)",4.4/5,124376ratings&9913reviews,₹429,₹322,25% Off,None,In Stock
Lakme,"Lakme 9 To 5 Powerplay Priming Matte Lipstick, Lasts hrs, Rosy Sunday(3.6g)",4.2/5,70589ratings&2971reviews,₹650,₹403,38% Off,BESTSELLER,In Stock
