Product Brand,Product Name,Product Rating,Product Rating & Review Count,Product Original Price,Product Offer Price,Product Discount,Product Highlight,Product Stock Status
Nykaa Cosmetics,Nykaa Matte Luxe Lipstick - Vintage(4.8gm),4.3/5,14401ratings&1503reviews,₹849,₹637,25% Off,None,In Stock
Nykaa Cosmetics,Nykaa Cosmetics Superlight Volumizing Peptide Mascara(9ml),4.3/5,95ratings&28reviews,₹799,₹679,15% Off,None,In Stock
Nykaa Cosmetics,Nykaa Matte To Last ! Transferproof Liquid Lipstick - Chai -18(6.2ml),4.4/5,77372ratings&11160reviews,₹675,₹540,20% Off,BESTSELLER,In Stock
Nykaa Cosmetics,Nykaa Cosmetics Get Cheeky Blush Stick - Berry Cute(8g),4.4/5,1044ratings&142reviews,₹599,₹509,15% Off,None,In Stock
Nykaa Cosmetics,Nykaa Lash Talk Curl Power Waterproof Curling Mascara(8gm),4.2/5,27620ratings&1782reviews,₹399,₹299,25% Off,None,In Stock
Nykaa Cosmetics,Nykaa Cosmetics Lip Glaze High Pigment Lip Gloss Oil - Raspberry Ganache(7ml),4.3/5,1902ratings&361reviews,₹599,₹539,10% Off,None,In Stock
Nykaa Cosmetics,Nykaa So Creme! Creamy Matte Lipstick - Wakeup Makeup(4.2g),4.3/5,173200ratings&15034reviews,₹329,₹280,15% Off,BESTSELLER,In Stock
Nykaa Cosmetics,Nykaa Cosmetics Superlight Lip Cloud Liquid Lipstick - Ruby Sour(5ml),4.3/5,54ratings&19reviews,₹799,N/A,No Discount,None,In Stock
Nykaa Cosmetics,Nykaa Prep Me Up! Pore Minimizing + Matte Finish Face Primer(30g),4.4/5,66643ratings&4897reviews,₹619,₹433,30% Off,None,In Stock
Nykaa Cosmetics,Nykaa Cosmetics Peptide Butter Bomb Lip Balm - Pookie(2ml),4.3/5,162ratings&49reviews,₹649,N/A,No Discount,None,In Stock
Nykaa Cosmetics,Nykaa All Day Matte Long Lasting Transferproof Liquid Lipstick - Boss Babe(2.1ml),4.3/5,53072ratings&3665reviews,₹399,₹319,20% Off,BESTSELLER,In Stock
Nykaa Cosmetics,Nykaa Eyes On Me! 10-in-1 Eyeshadow Palette - Sundowner Stunner(12g),4.4/5,41080ratings&3734reviews,₹699,₹594,15% Off,BESTSELLER,In Stock
Nykaa Cosmetics,Nykaa InstaLike Long Lasting Nail Enamel - Rose Edit 352(9ml),4.5/5,32485ratings&2291reviews,₹119,₹107,10% Off,BESTSELLER,In Stock
Nykaa Cosmetics,Nykaa Prep Me Up! Pore Minimizing + Matte Finish Face Primer(30g),4.4/5,66643ratings&4897reviews,₹619,₹433,30% Off,BESTSELLER,In Stock
Nykaa Cosmetics,Nykaa Cosmetics Eyes On Me! 4 in 1 Quad Eyeshadow Palette - Brunch Party(5gm),4.4/5,32259ratings&1451reviews,₹375,₹300,20% Off,BESTSELLER,In Stock
Nykaa Cosmetics,Nykaa All Day Matte 12Hr Oil Control Face Compact Powder With SPF 15 PA ++ - Ivory 01(8gm),4.3/5,43503ratings&2776reviews,₹259,₹194,25% Off,BESTSELLER,In Stock
Nykaa Cosmetics,Nykaa Wedding Edition Nail Enamel Polish - Mink Muffin 261(9ml),4.4/5,105725ratings&14480reviews,₹189,₹151,20% Off,None,In Stock
Nykaa Cosmetics,Nykaa Black Magic Smudgeproof Kajal Eyeliner Pencil Lasts Upto 24 Hours - Black(0.3gm),4.3/5,38851ratings&2381reviews,₹189,₹132,30% Off,None,In Stock
Nykaa Cosmetics,Nykaa Matte-illicious Lip Crayon Lipstick with Free Sharpener - Jade Rose 11(2.8g),4.4/5,18404ratings&3522reviews,₹799,₹639,20% Off,None,In Stock
Nykaa Cosmetics,Nykaa Lips Don’t Lie! Matte Lip Liner Feisty Brunette - 11(1.14g),4.4/5,25277ratings&2990reviews,₹399,₹379,5% Off,None,In Stock
Nykaa Cosmetics,Nykaa Glitter Nail Enamel - Cocktail Toast 464(9ml),4.4/5,9515ratings&818reviews,₹249,₹224,10% Off,None,In Stock
Nykaa Cosmetics,Nykaa Cosmetics Stardust Dual Chrome Eyeliner with Holographic Finish - Cyber Baddie(1.6ml),4.4/5,820ratings&99reviews,₹449,₹382,15% Off,None,In Stock
Nykaa Cosmetics,Nykaa So Matte Lipstick - Naughty Nude 11 M(4.2g),4.2/5,40749ratings&6608reviews,₹450,₹293,35% Off,None,In Stock
Nykaa Cosmetics,Nykaa Breathable Nail Enamel - Bare Skin - 318(9ml),4.5/5,36670ratings&3420reviews,₹229,N/A,No Discount,None,In Stock
Nykaa Cosmetics,Nykaa All Day Matte Long Wear Liquid Foundation For Normal To Combination Skin - Beige 06(30ml),4.3/5,12773ratings&737reviews,₹649,₹487,25% Off,None,In Stock
Nykaa Cosmetics,Nykaa Creme Nail Enamel - Wine & Chill 456(9ml),4.5/5,8383ratings&668reviews,₹229,₹206,10% Off,None,In Stock
Nykaa Cosmetics,"Nykaa Moisturising Macaron Lip Balm With Shea Butter, Almond Oil & Vitamin E - Strawberry(8gm)",4.3/5,40202ratings&5710reviews,₹299,₹209,30% Off,None,In Stock
Nykaa Cosmetics,Nykaa GLAMOReyes Waterproof & Smudgeproof Colored Kajal Eyeliner Eye Pencil - Bronzite(0.3g),4.2/5,4730ratings&282reviews,₹299,₹254,15% Off,None,In Stock
Nykaa Cosmetics,Nykaa Insta Dry Fast Drying Nail Enamel Polish Rose Room 345 - Dusty Pink(9ml),4.4/5,27642ratings&1963reviews,₹229,₹137,40% Off,None,In Stock
Nykaa Cosmetics,Nykaa Black Magic Liquid Eyeliner - Super Black 01(5ml),4.3/5,25546ratings&2728reviews,₹325,₹228,30% Off,None,In Stock
Nykaa Cosmetics,Nykaa Matte Nail Enamel Polish - Ruby Blaze 120(9ml),4.3/5,71943ratings&11982reviews,₹229,₹183,20% Off,None,In Stock
Nykaa Cosmetics,Nykaa Get Cheeky - Matte Blush Duo - Cali Chick - 02(9g),4.3/5,11951ratings&1071reviews,₹749,₹637,15% Off,None,In Stock
Nykaa Cosmetics,Nykaa Nail Care - Rock Hard Nail Hardener(12ml),4.4/5,18606ratings&3224reviews,₹249,₹224,10% Off,None,In Stock
Nykaa Cosmetics,Nykaa Strobe & Glow Liquid Cream Highlighter - Gold Mine(20ml),4.2/5,14141ratings&1465reviews,₹725,₹580,20% Off,None,In Stock
Nykaa Cosmetics,Nykaa Glamoreyes Waterproof & Smudgeproof Shimmer Eye Pencil-Bronze Beam (Brown)(1.2g),4.4/5,17968ratings&2937reviews,₹549,₹412,25% Off,None,In Stock
Nykaa Cosmetics,Nykaa Ultra Matte Lipstick - Diana - 07(5gm),4.3/5,15531ratings&3478reviews,₹649,₹454,30% Off,None,In Stock
Nykaa Cosmetics,Nykaa SKINgenius Conceal and Correct Palette - Deep(9g),4.3/5,7579ratings&777reviews,₹1499,₹899,40% Off,None,In Stock
Nykaa Cosmetics,Nykaa Oh My Brow! Eyebrow Mascara - Sirius Brown(4.2ml),4.2/5,3223ratings&351reviews,₹699,₹559,20% Off,None,In Stock
Nykaa Cosmetics,Nykaa Rock the line Kajal Eyeliner Pencil - Jet Black(0.35gm),4.4/5,30406ratings&4380reviews,₹199,₹159,20% Off,None,In Stock
Nykaa Cosmetics,Nykaa Superlight Serum Matte Filter Finish Skin Tint Foundation - 330Y(30ml),4.4/5,257ratings&54reviews,₹899,₹719,20% Off,None,In Stock
Nykaa Cosmetics,Nykaa Salon Shine Gel Nail Lacquer - Dubai Dune Bashing 217(15ml),4.3/5,9084ratings&1442reviews,₹325,N/A,No Discount,None,In Stock
Nykaa Cosmetics,Nykaa Glow Goals! Shimmer Brick Highlighter Palette - Sunset Love(7.5gm),4.4/5,7784ratings&564reviews,₹699,₹384,45% Off,None,In Stock
Nykaa Cosmetics,Nykaa SKINgenius Foundation Stick Conceal Contour & Corrector - Natural Buff 02(9g),4.1/5,9941ratings&1188reviews,₹625,₹500,20% Off,None,In Stock
Nykaa Cosmetics,Nykaa Serial Kisser Moisturising Tinted Lip Balm With Chocolate Nude(4.8g),4.1/5,13459ratings&1035reviews,₹199,₹139,30% Off,None,In Stock
Nykaa Cosmetics,Nykaa Eyem Bold Kajal With Free Sharpener - Deep Black 001(2.8g),4.4/5,6264ratings&1125reviews,₹599,₹479,20% Off,None,In Stock
Nykaa Cosmetics,Nykaa SKINgenius Skin Perfecting & Hydrating Matte Powder Compact - Natural Ivory 01(9g),4.1/5,8442ratings&772reviews,₹629,₹472,25% Off,None,In Stock
Nykaa Cosmetics,Nykaa So Matte! Mini Lipstick - 26 M Bon Bon(1.5g),4.1/5,116431ratings&15389reviews,₹279,₹209,25% Off,None,In Stock
Nykaa Cosmetics,Nykaa Matte To Last! Mini Liquid Lipstick - Janhvi 23(1.2ml),3.9/5,111927ratings&16055reviews,₹325,₹260,20% Off,None,In Stock
Nykaa Cosmetics,Nykaa Mini SKINgenius Sculpting & Hydrating Dewy Foundation - Warm Sand 03(7ml),4.2/5,14427ratings&765reviews,₹249,₹199,20% Off,None,In Stock
Nykaa Cosmetics,Nykaa Matte to Last Long Lasting Setting Spray with Natural Extracts(65ml),4.3/5,359ratings&30reviews,₹699,₹559,20% Off,None,In Stock
Nykaa Cosmetics,Nykaa Ultra Matte Mini Lipstick - Cleopatra 08(1.8gm),4.3/5,38574ratings&3203reviews,₹325,₹293,10% Off,None,In Stock
Nykaa Cosmetics,Nykaa Superlight Powder Matte Feathertouch Lipstick with High Pigment - Floaty(4.2g),4.3/5,279ratings&65reviews,₹749,₹637,15% Off,None,In Stock
Nykaa Cosmetics,Nykaa SKINgenius Sculpting & Hydrating Dewy Foundation For Dry Skin - Pure Ivory- 01(30ml),4.2/5,11454ratings&1685reviews,₹649,₹454,30% Off,None,In Stock
Nykaa Cosmetics,Nykaa Cosmetics Matte to Last Pore Blurring Loose Powder Banana 03(10g),4.5/5,817ratings&54reviews,₹799,₹599,25% Off,None,In Stock
Nykaa Cosmetics,Nykaa Glow All Day Illuminating Strobe Cream + Highlighter + Moisturizer - Rosy Radiance(30g),4.2/5,289ratings&34reviews,₹575,₹518,10% Off,None,In Stock
Nykaa Cosmetics,Nykaa Browgirl Eyebrow Definer Pencil - Bewitched Chestnut(0.35g),4.4/5,5104ratings&488reviews,₹549,₹467,15% Off,None,In Stock
Nykaa Cosmetics,Nykaa Black Magic! Gel Eyeliner - Jet Black(3.5g),4.2/5,9459ratings&1277reviews,₹599,₹509,15% Off,None,In Stock
Nykaa Cosmetics,Nykaa Serial Kisser Moisturising Lip Balm With Shea Butter & Vitamin E - Strawberry(4.5g),4/5,25053ratings&4161reviews,₹149,₹104,30% Off,None,In Stock
Nykaa Cosmetics,Nykaa GLAMOReyes Waterproof & Smudgeproof Coloured Liquid Eyeliner - Blue - Chaotic Calypso(5ml),4/5,20337ratings&2392reviews,₹349,₹314,10% Off,None,In Stock
Nykaa Cosmetics,Nykaa InstaBlur Color Corrector Stick - Peach(3.5g),4.2/5,6944ratings&743reviews,₹599,₹449,25% Off,None,In Stock
Nykaa Cosmetics,Nykaa Eyem BLACK Smudgeproof Waterproof Kajal Eyeliner Pencil With Free Nykaa Sharpener (Black)(1.2g),4.3/5,5357ratings&951reviews,₹499,₹374,25% Off,None,In Stock
