Product Brand,Product Name,Product Rating,Product Rating & Review Count,Product Original Price,Product Offer Price,Product Discount,Product Highlight,Product Stock Status
The Body Shop,The Body Shop British Rose Shower Gel(250ml),4.5/5,14458ratings&1656reviews,₹495,N/A,No Discount,BESTSELLER,In Stock
The Body Shop,The Body Shop British Rose Body Yogurt(200ml),4.5/5,3867ratings&478reviews,₹1095,N/A,No Discount,BESTSELLER,In Stock
The Body Shop,The Body Shop Lather & Slather British Rose Gift set(380ml),5/5,5ratings,₹2935,₹2201,25% Off,None,In Stock
The Body Shop,The Body Shop Lotus Shower Gel & Body Lotion Gift Set(100ml),1/5,1ratings,₹395,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop India Edit Shower Gel Trio(150ml),N/A,None,₹545,N/A,No Discount,None,In Stock
The Body Shop,"The Body Shop Hibiscus Shower Gel, Body Lotion & Body Mist Gift Set(120ml)",N/A,None,₹785,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Hibiscus Shower Gel & Body Lotion Gift Set(100ml),N/A,None,₹395,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Vitamin E Moisture Cream(50 ml),4.3/5,3553ratings&360reviews,₹1495,N/A,No Discount,BESTSELLER,In Stock
The Body Shop,The Body Shop Vitamin C Glow Boosting Moisturiser(50ml),4.4/5,2086ratings&268reviews,₹2495,N/A,No Discount,BESTSELLER,In Stock
The Body Shop,The Body Shop Tea Tree Skin Clearing Facial Wash(250ml),4.4/5,7577ratings&1425reviews,₹895,N/A,No Discount,BESTSELLER,In Stock
The Body Shop,The Body Shop British Rose Body Butter(200ml),4.3/5,2654ratings&263reviews,₹1495,N/A,No Discount,BESTSELLER,In Stock
The Body Shop,The Body Shop Shea Body Butter(200ml),4.4/5,1545ratings&131reviews,₹1495,N/A,No Discount,BESTSELLER,In Stock
The Body Shop,The Body Shop British Rose Eau De Toilette For Her(100ml),4.3/5,1899ratings&248reviews,₹1795,N/A,No Discount,BESTSELLER,In Stock
The Body Shop,The Body Shop Ginger Anti Dandruff Shampoo(250ml),4.4/5,1615ratings&250reviews,₹945,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Strawberry Shower Gel(250ml),4.5/5,5191ratings&518reviews,₹495,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Vitamin E Gentle Facial Wash(125ml),4.3/5,2297ratings&286reviews,₹895,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Banana Truly Nourishing Shampoo(250ml),4.2/5,2536ratings&367reviews,₹745,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Strawberry Body Yogurt(200ml),4.5/5,1653ratings&225reviews,₹1095,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Oils Of Life Sleeping Cream(80ml),4.5/5,407ratings&47reviews,₹2795,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Shea Shower Cream(250ml),4.5/5,2030ratings&255reviews,₹495,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Shea INTENSE REPAIR SHAMPOO(250ml),4.2/5,907ratings&89reviews,₹945,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop British Rose Petal Soft Hand Cream(30ml),4.1/5,496ratings&113reviews,₹495,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Tea Tree Oil(10ml),4.4/5,3437ratings&709reviews,₹745,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Oils Of Life Intensely Revitalizing Cream(50ml),4.4/5,339ratings&26reviews,₹2495,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Vitamin C Daily Glow Cleansing Polish(100ml),4.5/5,209ratings&14reviews,₹1395,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Swipe It Moisturising Lip Balm - Strawberry(5g),4.1/5,141ratings&20reviews,₹1295,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Vitamin C Glow Revealing Serum(30ml),4.1/5,88ratings&4reviews,₹3295,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Vitamin E Nourishing Night Cream(50ml),4.3/5,666ratings&68reviews,₹1695,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Almond Milk Body Yogurt(200ml),4.5/5,928ratings&101reviews,₹1095,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Shea Body Mist For Her(100ml),4.2/5,959ratings&105reviews,₹995,N/A,No Discount,None,In Stock
The Body Shop,"The Body Shop British Rose Shower Gel, Body Yogurt & Eau De Toilette Combo(3 pack)",4.5/5,20225ratings&2383reviews,₹3385,₹2708,20% Off,None,In Stock
The Body Shop,The Body Shop Almond Milk & Honey Calming & Protecting Hand Cream(30ml),4.5/5,403ratings&46reviews,₹495,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Almond Milk Soothing Body Butter(200ml),4.4/5,617ratings&73reviews,₹1495,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Satsuma Shower Gel(250ml),4.5/5,2092ratings&359reviews,₹495,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Tea Tree Skin Clearing Mattifying Toner(250ml),4.4/5,2370ratings&409reviews,₹895,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Shea Nourishing Body Lotion(200ml),4.5/5,383ratings&35reviews,₹1295,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop British Rose Shower Scrub(200ml),4.4/5,60ratings&4reviews,₹1495,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Strawberry Hand Cream(30ml),4.4/5,385ratings&71reviews,₹495,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Drops Of Light Brightening Day Cream(50ml),4.3/5,237ratings&29reviews,₹2395,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Moringa Shower Gel(250ml),4.5/5,1912ratings&216reviews,₹495,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Strawberry Lip Butter(10ml),4.2/5,2166ratings&341reviews,₹445,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop British Rose Shower Gel & Body Yogurt Combo(2 pack),4.5/5,18326ratings&2134reviews,₹1590,₹1352,15% Off,None,In Stock
The Body Shop,The Body Shop Vitamin E Intense Moisture Cream(50ml),4.5/5,629ratings&45reviews,₹1695,N/A,No Discount,None,In Stock
The Body Shop,"The Body Shop Grapeseed Glossing Hair Serum,(60ml)",4.4/5,528ratings&64reviews,₹1095,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Shea Butter Richly Replenishing Conditioner(250ml),4.3/5,662ratings&73reviews,₹745,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Tea Tree Anti-Imperfection Daily Solution(50ml),4.3/5,818ratings&198reviews,₹2095,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Vitamin E Moisture Cream & Face Wash Combo(2 Pcs),4.3/5,5054ratings&485reviews,₹2390,₹2032,15% Off,None,In Stock
The Body Shop,The Body Shop Almond Milk & Soothing & Caring Shower Cream(250ml),4.3/5,1198ratings&180reviews,₹495,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Strawberry Softening Body Polish Scrub(200ml),4.5/5,852ratings&133reviews,₹1195,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Trio Shower Gel Gift Set(750ml),4.4/5,16ratings&1reviews,₹1910,₹1624,15% Off,None,In Stock
The Body Shop,The Body Shop Tea Tree Purifying & Balancing Shampoo(250ml),4.3/5,482ratings&46reviews,₹945,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Himalayan Charcoal Purifying Glow Mask(75ml),4.4/5,347ratings&75reviews,₹2395,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Almond Milk Soothing Body Lotion(200ml),4.4/5,246ratings&34reviews,₹1295,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Argan Body Butter(200ml),4.5/5,228ratings&58reviews,₹1495,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Seaweed Oil Control Gel Face Wash(125ml),4.5/5,523ratings&68reviews,₹1195,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop British Rose Shower Gel & Body Butter Combo(2 pack),4.5/5,16864ratings&1843reviews,₹1990,₹1692,15% Off,None,In Stock
The Body Shop,The Body Shop Hemp Heavy-Duty Lip Care(4.2g),4.4/5,333ratings&93reviews,₹745,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Shea Hand Cream(30ml),4.3/5,84ratings&15reviews,₹495,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Bluebell Shower Cream(250ml),4.5/5,70ratings&10reviews,₹595,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Wild Argan Oil Shower Gel(250ml),4.5/5,2147ratings&241reviews,₹495,N/A,No Discount,None,In Stock
The Body Shop,The Body Shop Shea Butter Richly Replenishing Hair Mask(240ml),4.2/5,260ratings&44reviews,₹1795,N/A,No Discount,None,In Stock
