Product Brand,Product Name,Product Rating,Product Rating & Review Count,Product Original Price,Product Offer Price,Product Discount,Product Highlight,Product Stock Status
The Ordinary.,The Ordinary Niacinamide 10% + Zinc 1%(30ml),4.4/5,73496ratings&5498reviews,₹600,N/A,No Discount,None,In Stock
The Ordinary.,The Ordinary GF 15% Solution(30ml),4.9/5,7ratings&2reviews,₹1550,N/A,No Discount,None,In Stock
The Ordinary.,The Ordinary Glycolic Acid 7% Exfoliating Mini Toner(100ml),4.4/5,31051ratings&2750reviews,₹900,N/A,No Discount,None,In Stock
The Ordinary.,"The Ordinary Multi-Peptide Hair Serum For Denser, Thicker, Healthier Hair (All Hair Types)(60ml)",4.4/5,13742ratings&1414reviews,₹2150,N/A,No Discount,BESTSELLER,In Stock
The Ordinary.,The Ordinary AHA 30% + BHA 2% Peeling Solution(30ml),4.4/5,21214ratings&2112reviews,₹950,N/A,No Discount,BESTSELLER,In Stock
The Ordinary.,The Ordinary Mini Discovery Set(225ml),4.2/5,10ratings,₹2850,N/A,No Discount,None,In Stock
The Ordinary.,The Ordinary Caffeine Solution 5% + EGCG(30ml),4.3/5,7776ratings&738reviews,₹900,N/A,No Discount,None,In Stock
The Ordinary.,The Ordinary Saccharomyces Ferment 30% Milky Toner(100ml),4.9/5,19ratings&3reviews,₹1500,N/A,No Discount,None,In Stock
The Ordinary.,The Ordinary Multi-Peptide + Copper Peptides 1% Serum(30ml),4.5/5,910ratings&88reviews,₹2950,N/A,No Discount,BESTSELLER,In Stock
The Ordinary.,The Ordinary Salicylic Acid 0.5% Body Serum(240ml),4.7/5,10ratings&2reviews,₹1500,N/A,No Discount,None,In Stock
The Ordinary.,The Ordinary Glycolic Acid 7% Toning Solution(240ml),4.4/5,31051ratings&2750reviews,₹1275,N/A,No Discount,BESTSELLER,In Stock
The Ordinary.,The Ordinary Niacinamide 10% + Zinc 1%(30ml),4.4/5,73496ratings&5498reviews,₹600,N/A,No Discount,BESTSELLER,In Stock
