Product Brand,Product Name,Product Rating,Product Rating & Review Count,Product Original Price,Product Offer Price,Product Discount,Product Highlight,Product Stock Status
Bobbi Brown,Bobbi Brown Vitamin Enriched Face Base (Moisturizer & Primer) - Full Size(50ml),4.5/5,4215ratings&471reviews,₹7450,N/A,No Discount,BESTSELLER,In Stock
Bobbi Brown,Bobbi Brown Crushed Lip Color - Babe(3.4g),4.3/5,3615ratings&866reviews,₹2700,N/A,No Discount,BESTSELLER,In Stock
Bobbi Brown,Bobbi Brown 24 Hour Waterproof Kajal Liner - Black(1.2 g),4.3/5,1069ratings&105reviews,₹1150,N/A,No Discount,BESTSELLER,In Stock
Bobbi Brown,Bobbi Brown New Extra Lip Tint - Bare Raspberry (Lip Balm)(2.3 g),4.5/5,690ratings&67reviews,₹3350,N/A,No Discount,BESTSELLER,In Stock
Bobbi Brown,Bobbi Brown Mini Weightless Skin Natural Matte Finish Foundation SPF 15 - Warm Ivory(13ml),4.4/5,1145ratings&160reviews,₹2450,N/A,No Discount,None,In Stock
Bobbi Brown,Bobbi Brown Weightless Skin Natural Matte Finish Foundation SPF 15 - Ivory(30ml),4.4/5,1102ratings&150reviews,₹4950,N/A,No Discount,BESTSELLER,In Stock
Bobbi Brown,Bobbi Brown Luxe Lipstick - Soft Berry(3.5 g),4.5/5,310ratings&35reviews,₹3990,N/A,No Discount,BESTSELLER,In Stock
Bobbi Brown,Bobbi Brown Skin Long-Wear Weightless Foundation Mini - Warm Ivory(13ml),4.3/5,2201ratings&224reviews,₹2190,N/A,No Discount,BESTSELLER,In Stock
Bobbi Brown,"Bobbi Brown Crushed Oil Infused Gloss with Hyaluronic Acid, Vitamin C & E - Slow Jam(6ml)",4.4/5,734ratings&109reviews,₹2700,N/A,No Discount,BESTSELLER,In Stock
Bobbi Brown,Bobbi Brown Skin Full Cover Concealer - Warm Honey(8ml),4.4/5,139ratings&9reviews,₹3890,N/A,No Discount,None,In Stock
Bobbi Brown,Bobbi Brown Luxe Matte Liquid Lipstick Plum And Done(6ml),4.5/5,15ratings&4reviews,₹4100,N/A,No Discount,None,In Stock
Bobbi Brown,Bobbi Brown Skin Long-Wear Weightless Foundation SPF 15 - Ivory(30ml),4.4/5,1080ratings&148reviews,₹4900,N/A,No Discount,None,In Stock
Bobbi Brown,Bobbi Brown Skin Full Cover Concealer Mini - Warm Natural(2ml),4.3/5,795ratings&45reviews,₹1800,N/A,No Discount,None,In Stock
Bobbi Brown,Bobbi Brown Skin Foundation Stick - Natural(9gm),4.4/5,385ratings&96reviews,₹5900,N/A,No Discount,None,In Stock
Bobbi Brown,Bobbi Brown Corrector - Dark Peach(1.4g),4.5/5,238ratings&48reviews,₹4350,N/A,No Discount,None,In Stock
Bobbi Brown,Bobbi Brown Sheer Finish Pressed Powder - Warm Natural(9 g),4.3/5,24ratings&1reviews,₹5400,N/A,No Discount,None,In Stock
Bobbi Brown,Bobbi Brown Pot Rouge For Lips & Cheeks - Powder Pink(3.7g),4.5/5,355ratings&77reviews,₹4600,N/A,No Discount,None,In Stock
Bobbi Brown,Bobbi Brown Vitamin Enriched Skin Tint - Medium 1(50ml),4.3/5,72ratings&7reviews,₹4990,N/A,No Discount,None,In Stock
Bobbi Brown,Bobbi Brown Luxe Matte Lipstick - Neutral Rose(3.5 g),4.7/5,57ratings&6reviews,₹4100,N/A,No Discount,None,In Stock
Bobbi Brown,Bobbi Brown Highlighting Powder - Pink Glow(8gm),4.4/5,138ratings&29reviews,₹5600,N/A,No Discount,None,In Stock
Bobbi Brown,Bobbi Brown Long-Wear Gel Eyeliner - Black Ink(3g),4.2/5,545ratings&140reviews,₹2400,N/A,No Discount,None,In Stock
Bobbi Brown,Bobbi Brown Vitamin Enriched Eye Base(15ml),4.5/5,57ratings&3reviews,₹5500,N/A,No Discount,None,In Stock
Bobbi Brown,Bobbi Brown Skin Concealer Stick - Warm Honey(3 g),4.4/5,14ratings&1reviews,₹3450,N/A,No Discount,None,In Stock
