Product Brand,Product Name,Product Rating,Product Rating & Review Count,Product Original Price,Product Offer Price,Product Discount,Product Highlight,Product Stock Status
Chemist at Play,Chemist At Play Lactic Acid Exfoliating Body Wash (236)& AHA Underarm Roll OnShower gel & Deo Combo(2 pcs),4.5/5,34046ratings&3056reviews,₹798,₹629,21% Off,BESTSELLER,In Stock
Chemist at Play,"Chemist at Play 5% AHA Underarm Roll On, Lactic Acid Deodrants for Men & Women - Aqua Fragrance(40ml)",4.5/5,22661ratings&2153reviews,₹399,₹289,28% Off,BESTSELLER,In Stock
Chemist at Play,"Chemist At Play Cherry Lip Jelly Lip Balm With SPF 50 PA++++ For Dry, Chapped & Pigmented Lips(10g)",4.8/5,54ratings&39reviews,₹349,₹319,9% Off,None,In Stock
Chemist at Play,"Chemist At Play Exfoliating Body Wash Shower Gel with 4% Lactic Acid, Salicylic Acid & Vitamin E(473ml)",4.5/5,18004ratings&1523reviews,₹799,₹649,19% Off,BESTSELLER,In Stock
Chemist at Play,Chemist At Play 3% AHA Gentle Exfoliating Face Scrub For Dead Skin & Blackheads(100ml),4.6/5,815ratings&284reviews,₹349,₹329,6% Off,BESTSELLER,In Stock
Chemist at Play,Chemist at Play 2% Salicylic Acid Face Wash For Oily Skin with Niacinamide Oil Cleanser for Face(100ml),4.4/5,1185ratings&235reviews,₹299,₹269,10% Off,None,In Stock
Chemist at Play,"Chemist At Play Brightening Body Wash - 3% Vitamin C + Niacinamide, Shower Gel For Women & Men(236ml)",4.5/5,1427ratings&299reviews,₹349,₹329,6% Off,BESTSELLER,In Stock
Chemist at Play,"Chemist at Play Exfoliating Body Scrub For Removing Tan & Dead Skin Cells, Coffee Body Scrubs(75g)",4.5/5,2079ratings&277reviews,₹349,₹319,9% Off,BESTSELLER,In Stock
Chemist at Play,Chemist At Play AHA Body Lotion With Niacinamide Shea Butter Moisturizer For All Skin Types(236ml),4.4/5,3266ratings&642reviews,₹399,₹369,8% Off,BESTSELLER,In Stock
Chemist at Play,"Chemist at Play Foot Cream for Cracked Heels & Diabetic Foot, Up to 24 hours of Moisturization(50 g)",4.6/5,457ratings&94reviews,₹349,₹319,9% Off,None,In Stock
Chemist at Play,Chemist at Play 5% AHA Underarm Roll On Lactic Acid for Dark & Pigmented Skin - Fragrance Free(40ml),4.4/5,7182ratings&799reviews,₹399,₹289,28% Off,BESTSELLER,In Stock
Chemist at Play,Chemist at Play 5% AHA Underarm Roll On Lactic Acid Deodrant for Men & Women - Peach Fragrance(40ml),4.5/5,4459ratings&524reviews,₹399,₹289,28% Off,None,In Stock
Chemist at Play,Chemist At Play 1% Salicylic Acid Acne Body Wash Shower Gel for Acne Control For Women & Men(473ml),4.4/5,3923ratings&396reviews,₹699,₹629,10% Off,None,In Stock
Chemist at Play,Chemist at Play Exfoliating Body Wash + Exfoliating Body Scrub For Tan Removal Combo(2 pcs),4.4/5,13459ratings&1178reviews,₹748,₹599,20% Off,None,In Stock
