Product Brand,Product Name,Product Rating,Product Rating & Review Count,Product Original Price,Product Offer Price,Product Discount,Product Highlight,Product Stock Status
Clinique,Clinique Moisture Surge 100h Auto-replenishing Hydrator (Moisturizer)(30ml),4.5/5,26783ratings&4719reviews,₹2250,N/A,No Discount,BESTSELLER,In Stock
Clinique,Clinique Take The Day Off Cleansing Balm (Makeup Remover)(125ml),4.6/5,3452ratings&617reviews,₹3800,N/A,No Discount,BESTSELLER,In Stock
Clinique,Clinique Almost Lipstick In Black Honey (Lip Balm)(1.9g),4.3/5,2068ratings&367reviews,₹2300,N/A,No Discount,BESTSELLER,In Stock
Clinique,Clinique Pop Longwear Lipstick - Mocha(3.9g),5/5,2ratings&1reviews,₹2400,N/A,No Discount,None,In Stock
Clinique,Clinique Protect Your Glow Bundle - Sunscreen + Moisturiser,4.6/5,2693ratings&337reviews,₹7100,₹5680,20% Off,None,In Stock
Clinique,Clinique Even Better Clinical Clearing Serum For Dark Spots With Niacinamide And Vitamin C(30ml),N/A,None,₹5500,N/A,No Discount,None,In Stock
Clinique,Clinique Even Better Clinical Serum Foundation SPF 20 With Vitamin C - CN 52 Neutral (MF)(30ml),4.3/5,266ratings&26reviews,₹4100,N/A,No Discount,None,In Stock
Clinique,Clinique Happy Perfume Spray (Perfume for Women)(100ml),4.3/5,1149ratings&142reviews,₹8750,₹4375,50% Off,BESTSELLER,In Stock
Clinique,Clinique High Impact High-Fi Full Volume Mascara(10ml),4.8/5,6ratings&2reviews,₹2750,N/A,No Discount,None,In Stock
Clinique,Clinique SPF 50 UVA/UVB Mineral Sunscreen Fluid For Face(30ml),4.3/5,685ratings&115reviews,₹3550,N/A,No Discount,None,In Stock
Clinique,Clinique Moisture Surge Intense 72H Lipid-Replenishing Hydrator(50ml),4.4/5,2213ratings&239reviews,₹3550,N/A,No Discount,BESTSELLER,In Stock
Clinique,Clinique Liquid Facial Soap Mild - Dry Combination Facewash(200ml),4.4/5,902ratings&96reviews,₹2500,N/A,No Discount,BESTSELLER,In Stock
Clinique,Clinique Moisture Surge SPF 25 Sheer Hydrator(Moisturiser + Sunscreen)(50ml),4.4/5,339ratings&27reviews,₹3550,N/A,No Discount,None,In Stock
Clinique,Clinique Moisture Surge Duo (2 x 30ml)(2 pieces),4.5/5,7033ratings&905reviews,₹4500,N/A,No Discount,BESTSELLER,In Stock
Clinique,Clinique Happy For Men Cologne Spray(100ml),4.3/5,559ratings&52reviews,₹9450,₹4725,50% Off,BESTSELLER,In Stock
Clinique,Clinique Superdefense City Block SPF 50 Tinted Sunscreen(40ml),4.4/5,104ratings&14reviews,₹3550,N/A,No Discount,None,In Stock
Clinique,"Clinique Take The Day Off Makeup Remover For Lids, Lashes & Lips(125ml)",4.4/5,361ratings&63reviews,₹2950,N/A,No Discount,None,In Stock
Clinique,Clinique Liquid Facial Soap Oily Skin - Combination Oily To Oily Facewash(200ml),4.4/5,824ratings&148reviews,₹2500,N/A,No Discount,None,In Stock
Clinique,Clinique Take The Day Off Charcoal Balm (Makeup Remover)(125ml),4.5/5,373ratings&45reviews,₹3800,N/A,No Discount,None,In Stock
Clinique,Clinique Moisture Surge SPF 25 Sheer Hydrator(Moisturiser + Sunscreen)(30ml),4.4/5,339ratings&27reviews,₹2250,N/A,No Discount,None,In Stock
Clinique,Clinique All About Eyes (Lightweight Eye Cream For Reducing Dark Circles With Vitamin C)(15ml),4.4/5,171ratings&24reviews,₹4250,N/A,No Discount,None,In Stock
Clinique,Clinique Moisture Surge Duo 2x 50ml(2 pcs),4.6/5,2591ratings&323reviews,₹7100,N/A,No Discount,None,In Stock
Clinique,Clinique Clarifying Lotion 2 (Toner)(200ml),4.4/5,434ratings&62reviews,₹3000,N/A,No Discount,None,In Stock
Clinique,Clinique Chubby Stick Moisturizing Lip Colour Balm - Super Strawberry(3g),4.4/5,410ratings&73reviews,₹2400,N/A,No Discount,None,In Stock
Clinique,Clinique Almost Lipstick in Pink Honey (Lip Balm)(1.9g),3.7/5,38ratings&16reviews,₹2300,N/A,No Discount,None,In Stock
Clinique,Clinique Dramatically Different Moisturizing Lotion with Pump(125ml),4.3/5,684ratings&139reviews,₹5150,N/A,No Discount,None,In Stock
Clinique,Clinique SPF 50 With/Avec UVA UVB Protection Face Cream(50ml),4.3/5,227ratings&43reviews,₹3300,N/A,No Discount,None,In Stock
Clinique,Clinique Clarifying Lotion 3 (Toner With Salicylic Acid)(200ml),4.5/5,589ratings&98reviews,₹3000,N/A,No Discount,None,In Stock
Clinique,Clinique Even Better Glow Light Reflecting Makeup SPF 15 - CN 70 Vanilla(30ml),4.3/5,231ratings&41reviews,₹3300,N/A,No Discount,None,In Stock
Clinique,Clinique For Men Maximum Hydrator 72-Hour Auto-Replenishing Hydrator(50ml),4.4/5,86ratings&7reviews,₹3750,N/A,No Discount,None,In Stock
Clinique,Clinique Smart Clinical Repair Wrinkle Correcting Serum With Retinoid(50ml),4.6/5,86ratings&8reviews,₹9550,N/A,No Discount,None,In Stock
Clinique,Clinique Even Better All-Over Concealer + Eraser - Ivory(6ml),4.5/5,205ratings&27reviews,₹3050,N/A,No Discount,None,In Stock
Clinique,"Clinique Take The Day Off Makeup Remover For Lids, Lashes & Lips Mini(50ml)",4.4/5,361ratings&63reviews,₹1550,N/A,No Discount,None,In Stock
Clinique,Clinique High Impact Custom Black Kajal - Blackened Black(0.28g),3.9/5,267ratings&48reviews,₹1950,N/A,No Discount,None,In Stock
Clinique,Clinique Anti-Blemish Solutions - Cleansing Foam With Salicylic Acid,4.2/5,168ratings&27reviews,₹3100,N/A,No Discount,None,In Stock
Clinique,Clinique Moisture Surge Overnight Mask(100ml),4.2/5,28ratings&10reviews,₹4950,N/A,No Discount,None,In Stock
Clinique,Clinique Even Better Light Reflecting Primer(30ml),4.6/5,67ratings&4reviews,₹3400,N/A,No Discount,None,In Stock
Clinique,Clinique Dramatically Different Moisturizing Gel With Pump(125ml),4.4/5,449ratings&108reviews,₹5150,N/A,No Discount,None,In Stock
Clinique,Clinique Superdefense SPF40 Fatigue + 1st Signs Of Age Multi Correcting Gel(50ml),4/5,9ratings&1reviews,₹5800,N/A,No Discount,None,In Stock
Clinique,Clinique Moisture Surge Megastars Set(5ml),5/5,1ratings,₹3500,N/A,No Discount,None,In Stock
Clinique,Clinique Smart Night Clinical Md Multi-dimensional Repair Treatment Retinol(30ml),4.7/5,30ratings&2reviews,₹7450,N/A,No Discount,None,In Stock
Clinique,Clinique High Impact Easy Liquid Liner- Black(0.67gm),4.3/5,113ratings&16reviews,₹1800,N/A,No Discount,None,In Stock
Clinique,Clinique Anti-Blemish Solutions Clinical Clearing Gel,4.2/5,280ratings&56reviews,₹1500,N/A,No Discount,None,In Stock
Clinique,Clinique Anti-Blemish Solutions - Clarifying Lotion (Toner With Salicylic Acid),4.3/5,474ratings&145reviews,₹3100,N/A,No Discount,None,In Stock
Clinique,Clinique Dramatically Different Moisturizing Lotion Mini(15ml),4.3/5,684ratings&139reviews,₹1300,N/A,No Discount,None,In Stock
Clinique,Clinique Moisture Surge Eye 96-Hour Hydro-Filler Concentrate (Eye Serum With Niacinamide And Caffeine)(15ml),4.3/5,247ratings&49reviews,₹3850,N/A,No Discount,None,In Stock
Clinique,Clinique Even Better Makeup SPF 15 - Cashew(30ml),4.2/5,166ratings&26reviews,₹3300,N/A,No Discount,None,In Stock
Clinique,Clinique Liquid Facial Soap Mild - Dry Combination Facewash(30ml),4.4/5,902ratings&96reviews,₹1050,N/A,No Discount,None,In Stock
Clinique,Clinique Even Better Brightening Moisturizer SPF20(50ml),3.8/5,5ratings,₹5700,N/A,No Discount,None,In Stock
Clinique,Clinique High Impact Gel Eyeliner - Black(0.35 g),4.4/5,13ratings&2reviews,₹1950,N/A,No Discount,None,In Stock
Clinique,Clinique Happy Perfume Gift Bundle(200ml),4.3/5,1708ratings&194reviews,₹18200,₹9100,50% Off,None,In Stock
Clinique,Clinique Even Better Clinical Brightening Moisturizer(15ml),4/5,24ratings&3reviews,₹2800,N/A,No Discount,None,In Stock
Clinique,Clinique Liquid Facial Soap Extra Mild - Very Dry to Dry Skin (Facewash)(200ml),4.1/5,164ratings&24reviews,₹2500,N/A,No Discount,None,In Stock
Clinique,Clinique For Men Charcoal Face Wash,4.5/5,128ratings&13reviews,₹3850,N/A,No Discount,None,In Stock
Clinique,Clinique Smart Clinical Repair Wrinkle Correcting Eye Cream With Peptides(15ml),4.3/5,40ratings&1reviews,₹5750,N/A,No Discount,None,In Stock
Clinique,Clinique All About Clean Anti-Pollution 2-In-1 Cleansing + Exfoliating Jelly With Salicylic Acid(150ml),4.5/5,112ratings&11reviews,₹3750,N/A,No Discount,None,In Stock
Clinique,Clinique Even Better Light Reflecting Primer(15ml),4.6/5,67ratings&4reviews,₹1950,N/A,No Discount,None,In Stock
Clinique,Clinique Anti-Blemish Solutions - Clearing Moisturizer,4.3/5,152ratings&51reviews,₹3000,N/A,No Discount,None,In Stock
Clinique,Clinique Exfoliating Scrub(100ml),4.4/5,44ratings&9reviews,₹4600,N/A,No Discount,None,In Stock
Clinique,Clinique Quickliner For Eyes Intense - Intense Midnight(0.25g),4.1/5,71ratings&13reviews,₹2200,N/A,No Discount,None,In Stock
Clinique,Clinique High Impact Mascara - Black Honey(7ml),N/A,None,₹2750,N/A,No Discount,None,In Stock
Clinique,Clinique High Impact Shadow Play Eye Shadow + Definer - Royal Couple(1.9g),4.3/5,3ratings,₹3200,N/A,No Discount,None,In Stock
Clinique,Clinique Liquid Facial Soap Oily Skin - Combination Oily To Oily Facewash(30ml),4.4/5,824ratings&148reviews,₹1050,N/A,No Discount,None,In Stock
Clinique,Clinique For Men Maximum Hydrator Activated Water-Gel Concentrate(48ml),4.1/5,22ratings&4reviews,₹3950,N/A,No Discount,None,In Stock
Clinique,Clinique Pop Plush Creamy Lip Gloss - 08 Strawberry(3.4ml),4.4/5,14ratings&2reviews,₹2200,N/A,No Discount,None,In Stock
Clinique,Clinique For Men Aloe Shave Gel,4.5/5,44ratings&1reviews,₹2700,N/A,No Discount,None,In Stock
Clinique,Clinique Dramatically Different Hydrating Jelly(50ml),4.3/5,228ratings&69reviews,₹2800,N/A,No Discount,None,In Stock
Clinique,Clinique Clarifying Lotion 1.0 (Toner)(200ml),4.6/5,59ratings&10reviews,₹3000,N/A,No Discount,None,In Stock
Clinique,Clinique Moisture Surge Lip Hydro-Plump Treatment (Lip Balm)(10ml),4.6/5,236ratings&51reviews,₹2200,N/A,No Discount,None,In Stock
Clinique,Clinique Anti-Blemish Solutions Cleansing Foam(50ml),4.2/5,42ratings&12reviews,₹1650,N/A,No Discount,None,In Stock
Clinique,Clinique Even Better Eyes Dark Circle Corrector(Eye Cream With Caffeine)(10ml),4.4/5,18ratings,₹5050,N/A,No Discount,None,In Stock
Clinique,Clinique Even Better All Over Primer And Corrector(6ml),5/5,2ratings,₹3050,N/A,No Discount,None,In Stock
Clinique,Clinique High Impact Waterproof Mascara - Black(8ml),4.5/5,25ratings&6reviews,₹2750,N/A,No Discount,None,In Stock
Clinique,Clinique For Men Face Wash Oily Skin Formula(200ml),4.4/5,21ratings&2reviews,₹3150,N/A,No Discount,None,In Stock
Clinique,Clinique 7 Day Scrub Cream Rinse-Off Formula(100ml),4.2/5,27ratings&4reviews,₹4100,N/A,No Discount,None,In Stock
Clinique,Clinique Quickliner For Eyes - Dark Choc(0.3 g),4.3/5,3ratings&1reviews,₹2100,N/A,No Discount,None,In Stock
Clinique,Clinique Even Better Pore Defying Primer(30ml),3.7/5,20ratings&2reviews,₹3400,N/A,No Discount,None,In Stock
Clinique,Clinique For Men Face Wash(200ml),4.6/5,25ratings&1reviews,₹3150,N/A,No Discount,None,In Stock
Clinique,Clinique Clarifying Lotion 4 (Toner With Salicylic Acid)(200ml),4.4/5,36ratings&4reviews,₹3000,N/A,No Discount,None,In Stock
Clinique,Clinique Even Better All-Over Concealer + Eraser - CN 74 Beige(6ml),3.7/5,3ratings,₹3050,N/A,No Discount,None,In Stock
Clinique,Clinique For Men Post-Shave Soother(75ml),3.7/5,19ratings&2reviews,₹3950,N/A,No Discount,None,In Stock
Clinique,Clinique All About Clean 2-in-1 Charcoal Mask + Scrub(100ml),4.5/5,12ratings&1reviews,₹5500,N/A,No Discount,None,In Stock
Clinique,Clinique High Impact Mascara - Black(7ml),4.2/5,31ratings&3reviews,₹2750,N/A,No Discount,None,In Stock
Clinique,Clinique Happy Heart Perfume Spray(100 ml),4.3/5,180ratings&33reviews,₹8750,N/A,No Discount,None,In Stock
Clinique,Clinique Anti-blemish Solutions Clarifying Lotion(60ml),4.3/5,26ratings&1reviews,₹1650,N/A,No Discount,None,In Stock
Clinique,Clinique X Kate Spade Pop Plush Creamy Lip Gloss - Juicy Apple Pop(3.4ml),4.1/5,60ratings&11reviews,₹2200,N/A,No Discount,None,In Stock
Clinique,Clinique High Impact Zero Gravity Mascara - Black(8ml),4.5/5,2ratings,₹3050,N/A,No Discount,None,In Stock
Clinique,Clinique All About Eyes Rich (Nourishing Eye Cream For Reducing Dark Circles With Hyaluronic Acid)(15ml),4.3/5,82ratings&13reviews,₹4250,N/A,No Discount,None,In Stock
Clinique,Clinique Clarifying Lotion 1 (Toner With Salicylic Acid)(200ml),4.4/5,32ratings&9reviews,₹3000,N/A,No Discount,None,In Stock
Clinique,Clinique All About Shadow Octet - Best Of Black Honey(8.9g),N/A,None,₹6300,N/A,No Discount,None,In Stock
Clinique,Clinique High Impact Easy Liquid Liner - Espresso(0.67 g),N/A,None,₹2300,N/A,No Discount,None,In Stock
Clinique,Clinique Clarifying Do-over Peel(30ml),4.3/5,12ratings&2reviews,₹5200,N/A,No Discount,None,In Stock
Clinique,Clinique Quickliner For Brows - Deep Brown(0.06 g),N/A,None,₹2300,N/A,No Discount,None,In Stock
Clinique,Clinique Anti-Blemish Solutions Liquid Makeup - Fresh Sand(30ml),4.4/5,125ratings&42reviews,₹3000,N/A,No Discount,None,In Stock
Clinique,Clinique All About Shadow Quads - Teddy Bear(3.3g),N/A,None,₹3950,N/A,No Discount,None,In Stock
Clinique,Clinique All About Shadow Duos - Day Into Date(1.7g),N/A,None,₹2950,N/A,No Discount,None,In Stock
Clinique,Clinique Happy Heart Perfume Spray (100ml) For Her,4.6/5,101ratings&15reviews,₹9999,N/A,No Discount,None,In Stock
Clinique,Clinique Dramatically Different Hydrating Clearing Jelly(50ml),3.9/5,46ratings&15reviews,₹2600,N/A,No Discount,None,In Stock
Clinique,Clinique Chubby Stick Intense Moisturizing Lip Colour Balm - Chunkiest Chili(3g),4.2/5,265ratings&59reviews,₹1800,N/A,No Discount,None,In Stock
