Product Brand,Product Name,Product Rating,Product Rating & Review Count,Product Original Price,Product Offer Price,Product Discount,Product Highlight,Product Stock Status
Huda Beauty,Huda Beauty The Ultimate Lip Trio Set - Icon(1.9ml),4.5/5,214ratings&45reviews,₹2750,N/A,No Discount,None,In Stock
Huda Beauty,Huda Beauty Glowish Multidew Skin Tint - 03 - Light(40ml),4/5,639ratings&81reviews,₹3500,N/A,No Discount,None,In Stock
Huda Beauty,Huda Beauty Easy Blur Natural Airbrush Foundation - Angel Food 110N(30ml),4.6/5,118ratings&30reviews,₹3380,N/A,No Discount,None,In Stock
Huda Beauty,Huda Beauty Glowish Super Jelly Lip Balm - Goji Berry(2.5g),4.3/5,82ratings&14reviews,₹2050,N/A,No Discount,None,In Stock
Huda Beauty,Huda Beauty Obsessions Eyeshadow Palette Light Nude(9.9gm),4.6/5,5277ratings&739reviews,₹2650,N/A,No Discount,BESTSELLER,In Stock
Huda Beauty,Huda Beauty Bright Light Sheer Concealer - 08 Tan(10.5ml),4.2/5,47ratings&5reviews,₹2500,N/A,No Discount,None,In Stock
Huda Beauty,Huda Beauty Glowish Micro Mini Natural Eyeshadow Palette - Moss(4.05 g),4.5/5,65ratings&13reviews,₹2050,N/A,No Discount,None,In Stock
Huda Beauty,Huda Beauty Creamy Obsessions Eye Shadow Palette - Brown(8.22 g),4.2/5,78ratings&16reviews,₹2650,N/A,No Discount,None,In Stock
Huda Beauty,Huda Beauty 1 Coat WOW! Extra Volumizing and Lifting Mascara(10ml),4.6/5,272ratings&39reviews,₹2350,N/A,No Discount,None,In Stock
Huda Beauty,Huda Beauty Faux Filler Gloss Ube(3.9ml),5/5,1ratings,₹2050,N/A,No Discount,None,In Stock
Huda Beauty,Huda Beauty Glowish Luminous Pressed Powder - 10 Deep Tan(10g),4.3/5,503ratings&71reviews,₹3150,N/A,No Discount,None,In Stock
Huda Beauty,Huda Beauty Glowish Airbrush Finish Complexion Brush(1 pc),3.2/5,5ratings&2reviews,₹2900,N/A,No Discount,None,In Stock
