Product Brand,Product Name,Product Rating,Product Rating & Review Count,Product Original Price,Product Offer Price,Product Discount,Product Highlight,Product Stock Status
Kama Ayurveda,Kama Ayurveda Pure Rosewater Duo(2 pcs),4.5/5,29251ratings&4976reviews,₹3190,N/A,No Discount,BESTSELLER,In Stock
Kama Ayurveda,Kama Ayurveda Pure Rose Water & Kumkumadi Serum(2 pcs),4.5/5,32608ratings&5051reviews,₹2690,N/A,No Discount,None,In Stock
Kama Ayurveda,Kama Ayurveda Hair Care Essentials(2 pcs),4.4/5,5268ratings&881reviews,₹2790,N/A,No Discount,None,In Stock
Kama Ayurveda,Kama Ayurveda Organic Henna & Indigo Powder(2 pieces),4.4/5,2204ratings&224reviews,₹1990,N/A,No Discount,None,In Stock
Kama Ayurveda,Kama Ayurveda Pure Rose Water Toner- Tightens Pores & Balances pH(200ml),4.5/5,29251ratings&4976reviews,₹1595,N/A,No Discount,BESTSELLER,In Stock
Kama Ayurveda,"Kama Ayurveda Kumkumadi Thailam Miraculous Beauty Fluid Serum-Facial Oil, Rich in Vitamin C(12ml)",4.3/5,5655ratings&643reviews,₹3895,N/A,No Discount,BESTSELLER,In Stock
Kama Ayurveda,Kama Ayurveda Kumkumadi Rejuvenating & Brightening Anti-Ageing Night Cream For Fine Lines & Wrinkles(25g),4.2/5,4943ratings&739reviews,₹1995,N/A,No Discount,BESTSELLER,In Stock
Kama Ayurveda,"Kama Ayurveda Bringadi Thailam Intensive Hair Oil, Rich in Vitamin A & C - Prevents Dandruff(200ml)",4.4/5,13228ratings&2592reviews,₹1795,N/A,No Discount,BESTSELLER,In Stock
Kama Ayurveda,Kama Ayurveda Kumkumadi Illuminating & Skin Perfecting Day Cream With Kashmiri Saffron For Dull skin(25gm),4.3/5,947ratings&51reviews,₹1895,N/A,No Discount,BESTSELLER,In Stock
Kama Ayurveda,Kama Ayurveda Eladi Hydrating Face Moisturizer For Skin Barrier Repair(50g),4.3/5,2464ratings&272reviews,₹2395,N/A,No Discount,None,In Stock
