Product Brand,Product Name,Product Rating,Product Rating & Review Count,Product Original Price,Product Offer Price,Product Discount,Product Highlight,Product Stock Status
Laneige,LANEIGE Love Sale Combo,4.4/5,6277ratings&743reviews,₹2650,₹1500,43% Off,None,In Stock
Laneige,LANEIGE Lip Sleeping Mask Berry(8g),4.6/5,25027ratings&2681reviews,₹600,N/A,No Discount,BESTSELLER,In Stock
Laneige,LANEIGE Mini Lip Glowy Balm Set(20g),4.6/5,5ratings&5reviews,₹1200,N/A,No Discount,None,In Stock
Laneige,LANEIGE Lip Glowy Balm Berry Fruits Rouges(10g),4.6/5,20605ratings&2205reviews,₹750,N/A,No Discount,BESTSELLER,In Stock
Laneige,Laneige Cream Skin Cerapeptide Toner & Moisturizer(50ml),4.5/5,8600ratings&1348reviews,₹900,N/A,No Discount,BESTSELLER,In Stock
Laneige,LANEIGE Smores Kisses Set(18g),5/5,2ratings&2reviews,₹1250,N/A,No Discount,None,In Stock
Laneige,LANEIGE Hydro UV Defense Sunscreen Ex Broad Spectrum SPF 50+(50ml),2/5,1ratings&1reviews,₹1850,N/A,No Discount,None,In Stock
Laneige,LANEIGE Strong Barrier Minis Set(80ml),4.6/5,14ratings&5reviews,₹2100,N/A,No Discount,None,In Stock
Laneige,LANEIGE Bouncy And Firm Sleeping Mask(25ml),4.5/5,754ratings&144reviews,₹1300,N/A,No Discount,BESTSELLER,In Stock
Laneige,LANEIGE Lip Sleeping Mask - Sweet Candy Ex(8g),4.6/5,672ratings&90reviews,₹600,N/A,No Discount,BESTSELLER,In Stock
Laneige,LANEIGE Water Sleeping Mask(70ml),4.4/5,8745ratings&1641reviews,₹2240,N/A,No Discount,BESTSELLER,In Stock
Laneige,LANEIGE Watery Sun Cream SPF50+ PA++++(50ml),4.3/5,1462ratings&256reviews,₹1650,N/A,No Discount,None,In Stock
Laneige,LANEIGE Lip Sleeping Mask - Candy Cane(20g),4.5/5,50ratings&17reviews,₹1750,N/A,No Discount,None,In Stock
Laneige,LANEIGE Lip Sleeping Mask - Gummy Bear(8g),4.7/5,628ratings&103reviews,₹600,N/A,No Discount,BESTSELLER,In Stock
Laneige,LANEIGE Berry Bliss Lip Duo Mini(2pcs),4.6/5,41258ratings&4296reviews,₹1350,N/A,No Discount,BESTSELLER,In Stock
Laneige,LANEIGE Water Sleeping Mask EX(25ml),4.4/5,8745ratings&1641reviews,₹850,N/A,No Discount,None,In Stock
Laneige,LANEIGE Cream Skin Cerapeptide Refiner Refill(170ml),4.6/5,468ratings&73reviews,₹1600,N/A,No Discount,None,In Stock
Laneige,LANEIGE Cica Sleeping Mask(25ml),4.5/5,1574ratings&305reviews,₹950,N/A,No Discount,None,In Stock
Laneige,LANEIGE Water Bank Blue Hyaluronic Cream Moisturizer(50ml),4.5/5,530ratings&57reviews,₹2900,N/A,No Discount,None,In Stock
Laneige,LANEIGE Water Bank Blue Hyaluronic Gel Moisturizer(50ml),4.4/5,379ratings&39reviews,₹3050,N/A,No Discount,None,In Stock
Laneige,LANEIGE Glowy Makeup Serum(30ml),4.4/5,777ratings&106reviews,₹1900,N/A,No Discount,None,In Stock
Laneige,LANEIGE Lip Balm Trio(3 PC),4.6/5,18704ratings&1924reviews,₹2250,N/A,No Discount,None,In Stock
Laneige,LANEIGE Lip Sleeping Mask Vanilla(20 g),4.7/5,412ratings&95reviews,₹1420,N/A,No Discount,None,In Stock
Laneige,LANEIGE Water Bank Blue Hyaluronic Cleansing Foam(150g),4.6/5,255ratings&26reviews,₹1810,N/A,No Discount,None,In Stock
Laneige,LANEIGE Bouncy And Firm Lip Treatment(12g),4.7/5,25ratings&5reviews,₹1900,N/A,No Discount,None,In Stock
Laneige,LANEIGE Radian-C Sun Cream SPF 50+ PA++++(50ml),4.4/5,422ratings&52reviews,₹2000,N/A,No Discount,None,In Stock
