Product Brand,Product Name,Product Rating,Product Rating & Review Count,Product Original Price,Product Offer Price,Product Discount,Product Highlight,Product Stock Status
M.A.C,M.A.C MACximal Satin Lipstick - Creme In Your Coffee(3.5g),4.1/5,44ratings&16reviews,₹2550,N/A,No Discount,None,In Stock
M.A.C,M.A.C Strobe Cream Mini - Pinklite Illuminating Moisturizer & Liquid Highlighter,4.4/5,15575ratings&1342reviews,₹1400,N/A,No Discount,BESTSELLER,In Stock
M.A.C,M.A.C Studio Fix Powder Plus Compact Foundation - NC42(15gm),4.4/5,18824ratings&1835reviews,₹3900,N/A,No Discount,BESTSELLER,In Stock
M.A.C,M.A.C MACximal Mini Matte Nude Lipstick - Mehr(1.7g),4.4/5,30727ratings&5295reviews,₹1650,N/A,No Discount,BESTSELLER,In Stock
M.A.C,M.A.C Prep + Prime Fix+ (Alcohol Free) Setting Spray - Original (Makeup Fixer) With Green Tea(100ml),4.5/5,285ratings&19reviews,₹2700,N/A,No Discount,BESTSELLER,In Stock
M.A.C,M.A.C Studio Fix Fluid SPF 15 Soft Matte Foundation With Hyaluronic Acid - NC20(30ml),4.4/5,13458ratings&1668reviews,₹4000,N/A,No Discount,BESTSELLER,In Stock
M.A.C,"M.A.C Glow Play Cushiony Blush - Blush, Please(7.3g)",3.9/5,24ratings&2reviews,₹3800,N/A,No Discount,None,In Stock
M.A.C,M.A.C MACximal Matte Lipstick - Ruby Woo(3.5g),4.5/5,8788ratings&1687reviews,₹2550,N/A,No Discount,BESTSELLER,In Stock
M.A.C,M.A.C In Extreme Dimension 24Hr Waterproof & Smudgeproof Kajal Eye Liner(0.8gm),4.3/5,10437ratings&1047reviews,₹850,N/A,No Discount,None,In Stock
M.A.C,M.A.C Glow Play Tender Talk Lip Balm - Serve(3.14g),4.7/5,25ratings&8reviews,₹3000,N/A,No Discount,None,In Stock
M.A.C,M.A.C Studio Fix Fluid SPF 15 Mini Soft Matte Foundation With Hyaluronic Acid - NC15(15ml),4.4/5,17400ratings&1023reviews,₹2250,N/A,No Discount,BESTSELLER,In Stock
M.A.C,M.A.C Strobe Cream - Pinklite | Illuminating Moisturizer & Liquid Highlighter(50ml),4.5/5,5434ratings&753reviews,₹4200,N/A,No Discount,BESTSELLER,In Stock
M.A.C,M.A.C Prep + Prime Fix+ Setting Spray (Makeup Fixer) - Travel Size(13ml),4.4/5,18204ratings&1201reviews,₹850,N/A,No Discount,None,In Stock
M.A.C,M.A.C Retro Matte Liquid Lipcolour - Burnt Spice(5ml),4.4/5,4394ratings&879reviews,₹2800,N/A,No Discount,None,In Stock
M.A.C,M.A.C Powder Kiss Lipstick - Burning Love(3g),4.4/5,3664ratings&656reviews,₹2800,N/A,No Discount,None,In Stock
M.A.C,M.A.C Studio Fix Conceal and Correct Palette - Medium Deep(Singles),4.5/5,1610ratings&176reviews,₹5450,N/A,No Discount,None,In Stock
M.A.C,M.A.C Studio Radiance Serum-Powered Foundation - NC20(30ml),4.4/5,580ratings&34reviews,₹4300,N/A,No Discount,None,In Stock
M.A.C,M.A.C Lip Pencil - Soar(1.45g),4.5/5,1983ratings&316reviews,₹2300,N/A,No Discount,None,In Stock
M.A.C,M.A.C Locked Kiss Ink Liquid Lipstick - Decadence(1 gms),4.5/5,870ratings&116reviews,₹3150,N/A,No Discount,None,In Stock
M.A.C,M.A.C Fix + (Stay Over Alcohol Free - Long Lasting) - Setting Spray (Makeup Fixer)(100ml),4.5/5,668ratings&30reviews,₹3200,N/A,No Discount,None,In Stock
M.A.C,M.A.C Powder Kiss Liquid Lipcolour - More The Mehr-Ier(5ml),4.3/5,2620ratings&473reviews,₹3100,N/A,No Discount,None,In Stock
M.A.C,M.A.C Mineralize Skinfinish Highlighter - Soft & Gentle(Singles),4.5/5,2323ratings&328reviews,₹4000,N/A,No Discount,None,In Stock
M.A.C,M.A.C Prep + Prime Natural Radiance Primer - Radiant Pink(50ml),4.5/5,1105ratings&92reviews,₹4300,N/A,No Discount,None,In Stock
M.A.C,M.A.C Locked Kiss Lipstick - Connoisseur(1 gms),4.1/5,585ratings&69reviews,₹3150,N/A,No Discount,None,In Stock
M.A.C,M.A.C Studio Fix 24-Hour Smooth Wear Concealer - NC42(7ml),4.4/5,1587ratings&127reviews,₹3000,N/A,No Discount,None,In Stock
