Product Brand,Product Name,Product Rating,Product Rating & Review Count,Product Original Price,Product Offer Price,Product Discount,Product Highlight,Product Stock Status
Maybelline New York,"Maybelline New York Lash Sensational Sky High Mascara, 802 Very Black, Lengthening & Waterproof(6ml)",4.4/5,35736ratings&2291reviews,₹799,₹639,20% Off,BESTSELLER,In Stock
Maybelline New York,"Maybelline New York Colossal Kajal Super Black, 2X Darker & 2X Colossal, Matte Finish Kajal(0.35g)",4.5/5,9063ratings&852reviews,₹349,₹332,5% Off,None,In Stock
Maybelline New York,"Maybelline New York Hypercurl Waterproof Mascara, Smudge & Highly Pigmented Black(9.2ml)",4.4/5,114259ratings&12677reviews,₹429,₹343,20% Off,None,In Stock
Maybelline New York,"Maybelline New York Falsies Lash Lift Mascara, Instant Lash Lift Look Mascara - Very Black(8.6ml)",4.4/5,4738ratings&579reviews,₹599,₹539,10% Off,None,In Stock
Maybelline New York,"Maybelline New York High Impact Tattoo Pen Liner, Lasts Up To 48H - Black, Water & Smudge-proof(1g)",4.3/5,14506ratings&1095reviews,₹599,₹509,15% Off,None,In Stock
Maybelline New York,"Maybelline New York Tattoo Brow 3-Day Gel, Water & Smudgeproof Lasts Up To 36H - Deep Brown(6ml)",4.2/5,2935ratings&289reviews,₹699,N/A,No Discount,None,In Stock
Maybelline New York,Maybelline New York The Colossal Combo - Mascara + Bold Liner + Kajal(3 pcs),4.4/5,205598ratings&12194reviews,₹997,₹798,20% Off,None,In Stock
Maybelline New York,Maybelline New York Too Glam to give a Damn Kit(128g),4.1/5,35ratings&9reviews,₹4014,₹3011,25% Off,None,In Stock
Maybelline New York,Maybelline New York Everyone's Favourite- Sky High Mascara & Superstay Vinyl Ink Liquid Lipstick(2 pcs),4.4/5,42455ratings&2999reviews,₹1648,N/A,No Discount,None,In Stock
Maybelline New York,"Maybelline New York Define & Blend Brow Pencil For Perfect Brows, Eyebrow Pencil Natural Brown(0.16g)",4.1/5,13226ratings&694reviews,₹349,N/A,No Discount,None,In Stock
Maybelline New York,"Maybelline New York Instant Age Rewind Eraser Concealer-Conceal, Contour, Highlight - 130 Medium(6ml)",4.3/5,72937ratings&7521reviews,₹729,₹620,15% Off,BESTSELLER,In Stock
Maybelline New York,"Maybelline New York Super Stay Vinyl Ink Liquid Lipstick, Instant Shine Lasts Up To 16H - 10 Lippy(4.2ML)",4.4/5,37854ratings&3239reviews,₹849,₹764,10% Off,BESTSELLER,In Stock
Maybelline New York,Maybelline New York Fit Me Matte + Poreless 16H Oil Control Foundation With SPF 22- 128(30ml),4.4/5,125443ratings&12988reviews,₹649,₹519,20% Off,BESTSELLER,In Stock
Maybelline New York,"Maybelline New York Super Stay Matte Ink Liquid Lipstick, Lasts Up to 16 Hours - 70 Amazonian(5ml)",4.4/5,111571ratings&13943reviews,₹699,₹629,10% Off,BESTSELLER,In Stock
Maybelline New York,"Maybelline New York Super Stay Lumi-Matte Liquid Foundation - 115, 30H Wear, Transfer Proof(35ml)",4.4/5,9992ratings&876reviews,₹799,₹679,15% Off,BESTSELLER,In Stock
Maybelline New York,Maybelline New York Fit Me Matte + Poreless 16H Oil Control Compact Powder - 128 Warm Nude(6g),4.4/5,122225ratings&5113reviews,₹269,₹242,10% Off,BESTSELLER,In Stock
Maybelline New York,Maybelline New York Fit Me Matte+Poreless 16H Oil Control Foundation with SPF 22 - 128 Warm Nude(18ml),4.3/5,118985ratings&8385reviews,₹329,₹280,15% Off,BESTSELLER,In Stock
Maybelline New York,"Maybelline New York Sensational Liquid Matte Lipstick, Weightless Comfort - 11 Made Easy(7ml)",4.3/5,98708ratings&8597reviews,₹429,₹365,15% Off,None,In Stock
