Product Brand,Product Name,Product Rating,Product Rating & Review Count,Product Original Price,Product Offer Price,Product Discount,Product Highlight,Product Stock Status
Moroccanoil,Moroccanoil Treatment Original Argan Oil Serum For All Hair Types(100ml),4.5/5,3929ratings&643reviews,₹3870,N/A,No Discount,BESTSELLER,In Stock
Moroccanoil,Moroccanoil Dream Duo Kit(200ml),N/A,None,₹3870,N/A,No Discount,None,In Stock
Moroccanoil,Moroccanoil Repair Spring Kit With Free Pouch(980 g),4.9/5,19ratings&1reviews,₹4320,N/A,No Discount,BESTSELLER,In Stock
Moroccanoil,Moroccanoil Power Performance Ionic Hair Dryer(1 pcs),N/A,None,₹31500,N/A,No Discount,None,In Stock
Moroccanoil,Moroccanoil Everlasting Curl Titanium Curling Iron(1 pcs),N/A,None,₹17100,N/A,No Discount,None,In Stock
Moroccanoil,Moroccanoil Perfectly Polished Titanium Flat Iron(1 pcs),N/A,None,₹17100,N/A,No Discount,None,In Stock
Moroccanoil,Moroccanoil Curl Defining Cream(250ml),4.4/5,61ratings&6reviews,₹2970,N/A,No Discount,None,In Stock
Moroccanoil,Moroccanoil Color Care Purple Shampoo(200ml),4.2/5,13ratings,₹2520,N/A,No Discount,None,In Stock
Moroccanoil,Moroccanoil Hydrating Shampoo(250ml),4.3/5,2107ratings&214reviews,₹2340,N/A,No Discount,BESTSELLER,In Stock
Moroccanoil,Moroccanoil Hydrating Conditioner(250ml),4.3/5,1308ratings&82reviews,₹2340,N/A,No Discount,BESTSELLER,In Stock
Moroccanoil,Moroccanoil Moisture Repair Shampoo(500ml),4.2/5,1884ratings&288reviews,₹3150,N/A,No Discount,BESTSELLER,In Stock
Moroccanoil,Moroccanoil Intense Hydrating Mask(250ml),4.5/5,747ratings&92reviews,₹3240,N/A,No Discount,BESTSELLER,In Stock
Moroccanoil,Moroccanoil Hydration Gift Set (Hydrating Shampoo & Conditioner with Free Moroccanoil Treatment Oil)(3 pcs),4.6/5,67ratings&5reviews,₹4680,N/A,No Discount,BESTSELLER,In Stock
Moroccanoil,Moroccanoil Hydrating Shampoo & Conditioner,4.3/5,2384ratings&211reviews,₹4680,N/A,No Discount,BESTSELLER,In Stock
Moroccanoil,Moroccanoil Extra Volume Shampoo(250ml),4.2/5,472ratings&54reviews,₹2340,N/A,No Discount,None,In Stock
Moroccanoil,Moroccanoil Travel Moisture Repair Conditioner(70ml),4.2/5,1032ratings&115reviews,₹990,N/A,No Discount,None,In Stock
Moroccanoil,Moroccanoil Treatment Light Argan Oil Serum - All Hair Types & Light Colored Hair(100ml),4.6/5,351ratings&57reviews,₹3870,N/A,No Discount,None,In Stock
Moroccanoil,Moroccanoil Restorative Hair Mask(250ml),4.2/5,201ratings&30reviews,₹3870,N/A,No Discount,None,In Stock
Moroccanoil,Moroccanoil Extra Volume Conditioner(250ml),4.4/5,246ratings&11reviews,₹2340,N/A,No Discount,None,In Stock
Moroccanoil,"Moroccanoil Repair Shampoo, Conditioner Travel Size",4.1/5,1122ratings&92reviews,₹1980,N/A,No Discount,None,In Stock
Moroccanoil,Moroccanoil Weightless Hydrating Mask(250ml),4.5/5,160ratings&19reviews,₹3330,N/A,No Discount,None,In Stock
Moroccanoil,Moroccanoil Extra Volume Shampoo & Conditioner,4.4/5,428ratings&38reviews,₹4680,N/A,No Discount,None,In Stock
Moroccanoil,Moroccanoil Intense Curl Cream(75ml),4.2/5,131ratings&23reviews,₹1080,N/A,No Discount,None,In Stock
Moroccanoil,Moroccanoil Dry Scalp Treatment(45ml),4.4/5,111ratings&5reviews,₹2970,N/A,No Discount,None,In Stock
Moroccanoil,Moroccanoil Frizz Control Shampoo(250ml),5/5,1ratings,₹2610,N/A,No Discount,None,In Stock
Moroccanoil,"Moroccanoil Hydrating Shampoo, Conditioner Travel Size",4.2/5,798ratings&70reviews,₹1980,N/A,No Discount,None,In Stock
Moroccanoil,Moroccanoil Hydrating Styling Cream(300ml),4.2/5,78ratings&10reviews,₹2970,N/A,No Discount,None,In Stock
Moroccanoil,Moroccanoil Hydrating Shampoo + Mini Conditioner Combo,4.3/5,1817ratings&189reviews,₹3330,N/A,No Discount,None,In Stock
Moroccanoil,Moroccanoil Frizz Control Conditioner(250ml),N/A,None,₹2610,N/A,No Discount,None,In Stock
Moroccanoil,"Moroccanoil Hydrating Shampoo, Conditioner And Intense Hydrating Mask - Combo",4.4/5,3057ratings&279reviews,₹7920,N/A,No Discount,None,In Stock
Moroccanoil,Moroccanoil Protect And Prevent Spray(160ml),4.4/5,47ratings&10reviews,₹2880,N/A,No Discount,None,In Stock
