Product Brand,Product Name,Product Rating,Product Rating & Review Count,Product Original Price,Product Offer Price,Product Discount,Product Highlight,Product Stock Status
The Face Shop,The Face Shop Rice Water Bright Korean Cleanser - Best Face Wash for Even Tone & Glowing Skin(150ml),4.5/5,26562ratings&3156reviews,₹899,N/A,No Discount,None,In Stock
The Face Shop,The Face Shop Rice & Ceramide Emulsion Mini - Korean Brightening Moisturizer for Dull & Dry Skin(70ml),4.4/5,10875ratings&1334reviews,₹599,₹569,5% Off,None,In Stock
The Face Shop,The Face Shop Rice & Ceramide Face Toner - Korean Beauty Skincare for Moisture & Brightness(150ml),4.4/5,5931ratings&589reviews,₹899,N/A,No Discount,BESTSELLER,In Stock
The Face Shop,"The Face Shop Korean Hydrating, Oil Free Sunscreen SPF 50+ PA++++ for Matte Finish & No White Cast(50ml)",4.4/5,431ratings&74reviews,₹1199,₹1019,15% Off,None,In Stock
The Face Shop,"The Face Shop Vitamin C Lip Sleeping Mask - Lightening Korean Lip Balm for Dark, Dry, Pigmented Lips(14g)",4.6/5,37ratings&3reviews,₹1295,N/A,No Discount,None,In Stock
The Face Shop,"The Face Shop Alltimate Vegan Mucin Peptide 8 Serum - No Snails, Korean, Anti Aging, Hydrating(30ml)",4.3/5,15ratings&2reviews,₹1589,₹1430,10% Off,None,In Stock
The Face Shop,The Face Shop Rice & Ceramide Moisturizer - Korean Day Cream for Barrier Repair & Glass Skin Glow(50ml),4.4/5,4416ratings&527reviews,₹1040,N/A,No Discount,BESTSELLER,In Stock
The Face Shop,The Face Shop Rice & Shine Combo(3pcs),4.4/5,1723ratings&162reviews,₹1148,₹1118,3% Off,None,In Stock
The Face Shop,The Face Shop K Beauty Duo Face Serum & Ceramide Moisturizer Combo(3pcs),4.4/5,1241ratings&95reviews,₹1884,₹1661,12% Off,None,In Stock
The Face Shop,The Face Shop X Khushi Kapoor Exclusive Kit(5 pcs),4.5/5,24781ratings&2129reviews,₹2359,₹1873,21% Off,None,In Stock
The Face Shop,The Face Shop 2 Step Cleanse & Hydrate Combo(3pcs),4.4/5,645ratings&73reviews,₹1998,N/A,No Discount,None,In Stock
The Face Shop,The Face Shop Rice Water Bright Ultra Light Cleansing Oil - Korean Makeup Remover for heavy makeup(150ml),4.4/5,3268ratings&486reviews,₹1349,N/A,No Discount,None,In Stock
The Face Shop,The Face Shop Real Nature Rice Face Mask(20g),4.5/5,87958ratings&10988reviews,₹100,N/A,No Discount,BESTSELLER,In Stock
The Face Shop,The Face Shop Rice Water Bright Korean Cleanser - Best Face Wash for Even Tone & Glowing Skin(150ml),4.5/5,26562ratings&3156reviews,₹899,N/A,No Discount,BESTSELLER,In Stock
The Face Shop,The Face Shop Rice & Ceramide Emulsion - Korean Brightening Moisturizer/Cream for Dull & Dry Skin(150ml),4.4/5,10875ratings&1334reviews,₹990,N/A,No Discount,BESTSELLER,In Stock
The Face Shop,The Face Shop Pomegranate & Collagen Volume Lifting Cream(50ml),4.4/5,2165ratings&250reviews,₹1249,N/A,No Discount,BESTSELLER,In Stock
The Face Shop,The Face Shop Rice Water Bright Ultra Light Cleansing Oil - Korean Makeup Remover for heavy makeup(55ml),4.4/5,3268ratings&486reviews,₹549,N/A,No Discount,BESTSELLER,In Stock
The Face Shop,"The Face Shop Rice Water Bright Foaming Cleanser, Face Wash For Glowing Skin & Even Skin Tone(50ml)",4.3/5,8306ratings&543reviews,₹370,N/A,No Discount,BESTSELLER,In Stock
The Face Shop,"The Face Shop Water Fit Lip Tint - Cherry Kiss, Waterproof & Long Lasting Lip & Cheek Tint(5gm)",4.2/5,11407ratings&2413reviews,₹549,N/A,No Discount,None,In Stock
The Face Shop,The Face Shop Pomegranate & 10% Collagen Serum - Best Anti Aging Korean Serum with Hyaluronic Acid(30ml),4.4/5,629ratings&87reviews,₹990,N/A,No Discount,None,In Stock
The Face Shop,"The Face Shop Rice & Ceramide Moisturizing Skincare Set, Complete Travel Friendly Skincare Routine(3 pieces)",4.3/5,1202ratings&90reviews,₹849,N/A,No Discount,None,In Stock
The Face Shop,The Face Shop White Seed Brightening Korean Serum With Niacinamide & Hyaluronic Acid for Dark Spots(30ml),4.3/5,1554ratings&394reviews,₹1285,₹1092,15% Off,None,In Stock
The Face Shop,The Face Shop Rice Water Bright Rich Cleansing Oil - Gentle Korean Makeup Remover for Heavy Makeup(150ml),4.5/5,1513ratings&267reviews,₹1289,N/A,No Discount,None,In Stock
The Face Shop,"The Face Shop Korean Jeju Aloe Vera Soothing Gel with Vitamin E for Face, Body & Hair(300ml)",4.6/5,6913ratings&1557reviews,₹490,N/A,No Discount,None,In Stock
